"Time (s)","Heat Pipe TC-01","Heat Pipe TC-02","Heat Pipe TC-03","Heat Pipe TC-04","Heat Pipe TC-05","Heat Pipe TC-06","Heat Pipe TC-07","Heat Pipe TC-08","Heat Pipe TC-09","Heat Pipe TC-10"
8239.002,22.716888,23.3114719788317,36.53298,74.676802,234.020732,509.048939,571.360907,572.01572,571.335508,455.991511
8240.002,22.716888,23.3115534200027,36.53298,74.676802,234.020732,509.048939,571.360907,572.01572,571.335508,455.991511
8241.002,22.7188790764792,23.31787088058,36.5394422917133,74.6993720121156,234.105123454489,509.517903451298,571.448360436153,572.102933977636,571.436715659589,456.114043902079
8242.002,22.7188790764792,23.3178513491468,36.5394422917133,74.6993720121156,234.105123454489,509.517903451298,571.448360436153,572.102933977636,571.436715659589,456.114043902079
8243.002,22.7188790764792,23.3178321179116,36.5394422917133,74.6993720121156,234.105123454489,509.517903451298,571.448360436153,572.102933977636,571.436715659589,456.114043902079
8244.002,22.7188790764792,23.3178568490926,36.5394422917133,74.6993720121156,234.105123454489,509.517903451298,571.448360436153,572.102933977636,571.436715659589,456.114043902079
8245.002,22.7188790764792,23.3178071533286,36.5394422917133,74.6993720121156,234.105123454489,509.517903451298,571.448360436153,572.102933977636,571.436715659589,456.114043902079
8246.002,22.7202454543723,23.317354334785,36.5452914036155,74.7180547895442,234.189499141792,509.990898692762,571.536973109611,572.190380517134,571.53338723534,456.236298674975
8247.002,22.7202454543723,23.3173645584535,36.5452914036155,74.7180547895442,234.189499141792,509.990898692762,571.536973109611,572.190380517134,571.53338723534,456.236298674975
8248.002,22.7202454543723,23.3173564519546,36.5452914036155,74.7180547895442,234.189499141792,509.990898692762,571.536973109611,572.190380517134,571.53338723534,456.236298674975
8249.002,22.7202454543723,23.3173683576404,36.5452914036155,74.7180547895442,234.189499141792,509.990898692762,571.536973109611,572.190380517134,571.53338723534,456.236298674975
8250.002,22.7202454543723,23.3173374771598,36.5452914036155,74.7180547895442,234.189499141792,509.990898692762,571.536973109611,572.190380517134,571.53338723534,456.236298674975
8251.002,22.7233874409987,23.3174895690509,36.5514078230454,74.7370927149703,234.272553315256,510.46158230682,571.625438049257,572.277934695995,571.631015745588,456.359369886672
8252.002,22.7233874409987,23.3174886705922,36.5514078230454,74.7370927149703,234.272553315256,510.46158230682,571.625438049257,572.277934695995,571.631015745588,456.359369886672
8253.002,22.7233874409987,23.3175146421101,36.5514078230454,74.7370927149703,234.272553315256,510.46158230682,571.625438049257,572.277934695995,571.631015745588,456.359369886672
8254.002,22.7233874409987,23.3174783245081,36.5514078230454,74.7370927149703,234.272553315256,510.46158230682,571.625438049257,572.277934695995,571.631015745588,456.359369886672
8255.002,22.7233874409987,23.3174991792349,36.5514078230454,74.7370927149703,234.272553315256,510.46158230682,571.625438049257,572.277934695995,571.631015745588,456.359369886672
8256.002,22.7244479263896,23.3207383332045,36.5579045612526,74.7568799368003,234.356104492266,510.933041016533,571.714927352812,572.366105720707,571.729182518085,456.482869990946
8257.002,22.7244479263896,23.3207596002991,36.5579045612526,74.7568799368003,234.356104492266,510.933041016533,571.714927352812,572.366105720707,571.729182518085,456.482869990946
8258.002,22.7244479263896,23.3207521802642,36.5579045612526,74.7568799368003,234.356104492266,510.933041016533,571.714927352812,572.366105720707,571.729182518085,456.482869990946
