Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
20109.101,44650.590721,25.799861,26.468282,41.221742,83.506188,269.086261,564.759758,566.103079,567.234247,567.341314,469.652559,589.4
20110.061,44650.590732,25.799861,26.468282,41.221742,83.506188,269.086261,564.759758,566.103079,567.234247,567.341314,469.652559,589.4
20111.019,44650.590743,25.80047,26.462051,41.223389,83.515148,269.289792,564.802285,566.168535,567.283148,567.39827,469.783851,589.4
20112.08,44650.590755,25.80047,26.462051,41.223389,83.515148,269.289792,564.802285,566.168535,567.283148,567.39827,469.783851,589.4
20113.038,44650.590766,25.80047,26.462051,41.223389,83.515148,269.289792,564.802285,566.168535,567.283148,567.39827,469.783851,589.4
20114.099,44650.590779,25.80047,26.462051,41.223389,83.515148,269.289792,564.802285,566.168535,567.283148,567.39827,469.783851,589.5
20115.058,44650.59079,25.80047,26.462051,41.223389,83.515148,269.289792,564.802285,566.168535,567.283148,567.39827,469.783851,589.5
20116.06,44650.590802,25.805249,26.469775,41.237055,83.534349,269.516481,564.868676,566.222974,567.351797,567.472625,469.932467,589.5
20117.068,44650.590813,25.805249,26.469775,41.237055,83.534349,269.516481,564.868676,566.222974,567.351797,567.472625,469.932467,589.5
20118.043,44650.590824,25.805249,26.469775,41.237055,83.534349,269.516481,564.868676,566.222974,567.351797,567.472625,469.932467,589.6
20119.012,44650.590836,25.805249,26.469775,41.237055,83.534349,269.516481,564.868676,566.222974,567.351797,567.472625,469.932467,589.6
20120.082,44650.590848,25.805249,26.469775,41.237055,83.534349,269.516481,564.868676,566.222974,567.351797,567.472625,469.932467,589.6
20121.011,44650.590859,25.801759,26.468292,41.235824,83.54185,269.721286,564.913694,566.276706,567.406762,567.520653,470.068714,589.6
20122.071,44650.590871,25.801759,26.468292,41.235824,83.54185,269.721286,564.913694,566.276706,567.406762,567.520653,470.068714,589.7
20123.026,44650.590882,25.801759,26.468292,41.235824,83.54185,269.721286,564.913694,566.276706,567.406762,567.520653,470.068714,589.7
20124.084,44650.590894,25.801759,26.468292,41.235824,83.54185,269.721286,564.913694,566.276706,567.406762,567.520653,470.068714,589.7
20125.04,44650.590905,25.801759,26.468292,41.235824,83.54185,269.721286,564.913694,566.276706,567.406762,567.520653,470.068714,589.7
20126.006,44650.590917,25.807233,26.47447,41.242259,83.570778,269.951055,564.980179,566.33132,567.470216,567.585114,470.206517,589.7
20127.069,44650.590929,25.807233,26.47447,41.242259,83.570778,269.951055,564.980179,566.33132,567.470216,567.585114,470.206517,589.8
20128.024,44650.59094,25.807233,26.47447,41.242259,83.570778,269.951055,564.980179,566.33132,567.470216,567.585114,470.206517,589.8
20129.085,44650.590952,25.807233,26.47447,41.242259,83.570778,269.951055,564.980179,566.33132,567.470216,567.585114,470.206517,589.8
20130.041,44650.590963,25.807233,26.47447,41.242259,83.570778,269.951055,564.980179,566.33132,567.470216,567.585114,470.206517,589.8
20131.006,44650.590974,25.820128,26.477215,41.264721,83.580533,270.186704,565.042611,566.408224,567.534928,567.658889,470.341208,589.9
20132.066,44650.590987,25.820128,26.477215,41.264721,83.580533,270.186704,565.042611,566.408224,567.534928,567.658889,470.341208,589.9
20133.026,44650.590998,25.820128,26.477215,41.264721,83.580533,270.186704,565.042611,566.408224,567.534928,567.658889,470.341208,589.9
20134.086,44650.59101,25.820128,26.477215,41.264721,83.580533,270.186704,565.042611,566.408224,567.534928,567.658889,470.341208,589.9
20135.042,44650.591021,25.820128,26.477215,41.264721,83.580533,270.186704,565.042611,566.408224,567.534928,567.658889,470.341208,589.9
20136.007,44650.591032,25.814552,26.480959,41.250434,83.600391,270.414324,565.108524,566.454619,567.606385,567.713789,470.466178,590.0
20137.068,44650.591045,25.814552,26.480959,41.250434,83.600391,270.414324,565.108524,566.454619,567.606385,567.713789,470.466178,590.0
20138.024,44650.591056,25.814552,26.480959,41.250434,83.600391,270.414324,565.108524,566.454619,567.606385,567.713789,470.466178,590.0
20139.087,44650.591068,25.814552,26.480959,41.250434,83.600391,270.414324,565.108524,566.454619,567.606385,567.713789,470.466178,590.1
20140.047,44650.591079,25.814552,26.480959,41.250434,83.600391,270.414324,565.108524,566.454619,567.606385,567.713789,470.466178,590.1
20141.01,44650.59109,25.816001,26.483351,41.263701,83.61702,270.642252,565.167372,566.522258,567.678167,567.785906,470.600889,590.1
20142.068,44650.591102,25.816001,26.483351,41.263701,83.61702,270.642252,565.167372,566.522258,567.678167,567.785906,470.600889,590.1
20143.025,44650.591114,25.816001,26.483351,41.263701,83.61702,270.642252,565.167372,566.522258,567.678167,567.785906,470.600889,590.1
20144.092,44650.591126,25.816001,26.483351,41.263701,83.61702,270.642252,565.167372,566.522258,567.678167,567.785906,470.600889,590.2
20145.05,44650.591137,25.816001,26.483351,41.263701,83.61702,270.642252,565.167372,566.522258,567.678167,567.785906,470.600889,590.2
20146.009,44650.591148,25.819829,26.490714,41.256976,83.640661,270.881102,565.236753,566.595623,567.742137,567.849205,470.727772,590.2
20147.07,44650.59116,25.819829,26.490714,41.256976,83.640661,270.881102,565.236753,566.595623,567.742137,567.849205,470.727772,590.2
20148.027,44650.591171,25.819829,26.490714,41.256976,83.640661,270.881102,565.236753,566.595623,567.742137,567.849205,470.727772,590.3
20149.086,44650.591184,25.819829,26.490714,41.256976,83.640661,270.881102,565.236753,566.595623,567.742137,567.849205,470.727772,590.4
20150.044,44650.591195,25.819829,26.490714,41.256976,83.640661,270.881102,565.236753,566.595623,567.742137,567.849205,470.727772,590.4
20151.008,44650.591206,25.821633,26.483908,41.263907,83.641645,271.120785,565.293089,566.660919,567.784611,567.916293,470.856881,590.4
20152.07,44650.591218,25.821633,26.483908,41.263907,83.641645,271.120785,565.293089,566.660919,567.784611,567.916293,470.856881,590.5
20153.026,44650.591229,25.821633,26.483908,41.263907,83.641645,271.120785,565.293089,566.660919,567.784611,567.916293,470.856881,590.5
