Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
17941.081,44650.565628,24.694234,25.387423,40.101967,81.529294,243.935615,443.441712,502.339249,513.712168,486.740467,400.558522,507.9
17942.037,44650.565639,24.694234,25.387423,40.101967,81.529294,243.935615,443.441712,502.339249,513.712168,486.740467,400.558522,507.9
17943.095,44650.565651,24.694234,25.387423,40.101967,81.529294,243.935615,443.441712,502.339249,513.712168,486.740467,400.558522,508.1
17944.054,44650.565662,24.694234,25.387423,40.101967,81.529294,243.935615,443.441712,502.339249,513.712168,486.740467,400.558522,508.1
17945.004,44650.565673,24.694234,25.387423,40.101967,81.529294,243.935615,443.441712,502.339249,513.712168,486.740467,400.558522,508.2
17946.059,44650.565686,24.701659,25.388469,40.116716,81.524211,243.919704,444.003784,503.045381,514.415231,487.460116,401.166781,508.4
17947.014,44650.565697,24.701659,25.388469,40.116716,81.524211,243.919704,444.003784,503.045381,514.415231,487.460116,401.166781,508.6
17948.075,44650.565709,24.701659,25.388469,40.116716,81.524211,243.919704,444.003784,503.045381,514.415231,487.460116,401.166781,508.8
17949.029,44650.56572,24.701659,25.388469,40.116716,81.524211,243.919704,444.003784,503.045381,514.415231,487.460116,401.166781,508.8
17950.006,44650.565732,24.701659,25.388469,40.116716,81.524211,243.919704,444.003784,503.045381,514.415231,487.460116,401.166781,508.9
17951.049,44650.565743,24.700078,25.392201,40.112179,81.53155,243.907365,444.567781,503.771532,515.115785,488.182584,401.781304,509.1
17952.029,44650.565755,24.700078,25.392201,40.112179,81.53155,243.907365,444.567781,503.771532,515.115785,488.182584,401.781304,509.2
17953.099,44650.565767,24.700078,25.392201,40.112179,81.53155,243.907365,444.567781,503.771532,515.115785,488.182584,401.781304,509.5
17954.093,44650.565779,24.700078,25.392201,40.112179,81.53155,243.907365,444.567781,503.771532,515.115785,488.182584,401.781304,509.6
17955.08,44650.56579,24.700078,25.392201,40.112179,81.53155,243.907365,444.567781,503.771532,515.115785,488.182584,401.781304,509.7
17956.035,44650.565801,24.70395,25.400556,40.111699,81.53211,243.888189,445.142059,504.492503,515.852414,488.918203,402.401682,509.7
17957.094,44650.565813,24.70395,25.400556,40.111699,81.53211,243.888189,445.142059,504.492503,515.852414,488.918203,402.401682,510.0
17958.048,44650.565824,24.70395,25.400556,40.111699,81.53211,243.888189,445.142059,504.492503,515.852414,488.918203,402.401682,510.0
17959.003,44650.565835,24.70395,25.400556,40.111699,81.53211,243.888189,445.142059,504.492503,515.852414,488.918203,402.401682,510.1
17960.061,44650.565848,24.70395,25.400556,40.111699,81.53211,243.888189,445.142059,504.492503,515.852414,488.918203,402.401682,510.2
17961.016,44650.565859,24.705916,25.406416,40.115251,81.531136,243.871202,445.712903,505.226372,516.563517,489.653099,403.036621,510.4
17962.077,44650.565871,24.705916,25.406416,40.115251,81.531136,243.871202,445.712903,505.226372,516.563517,489.653099,403.036621,510.7
17963.032,44650.565882,24.705916,25.406416,40.115251,81.531136,243.871202,445.712903,505.226372,516.563517,489.653099,403.036621,510.7
17964.093,44650.565894,24.705916,25.406416,40.115251,81.531136,243.871202,445.712903,505.226372,516.563517,489.653099,403.036621,510.9
17965.048,44650.565905,24.705916,25.406416,40.115251,81.531136,243.871202,445.712903,505.226372,516.563517,489.653099,403.036621,510.9
17966.006,44650.565917,24.720115,25.407031,40.122462,81.519666,243.862376,446.299592,505.980399,517.282674,490.406144,403.690602,511.0
17967.064,44650.565929,24.720115,25.407031,40.122462,81.519666,243.862376,446.299592,505.980399,517.282674,490.406144,403.690602,511.2
17968.025,44650.56594,24.720115,25.407031,40.122462,81.519666,243.862376,446.299592,505.980399,517.282674,490.406144,403.690602,511.3
17969.084,44650.565952,24.720115,25.407031,40.122462,81.519666,243.862376,446.299592,505.980399,517.282674,490.406144,403.690602,511.5
17970.039,44650.565963,24.720115,25.407031,40.122462,81.519666,243.862376,446.299592,505.980399,517.282674,490.406144,403.690602,511.5
17971.007,44650.565974,24.721494,25.394951,40.127819,81.513706,243.846505,446.868762,506.711635,517.985366,491.163455,404.331016,511.7
17972.065,44650.565987,24.721494,25.394951,40.127819,81.513706,243.846505,446.868762,506.711635,517.985366,491.163455,404.331016,511.8
17973.021,44650.565998,24.721494,25.394951,40.127819,81.513706,243.846505,446.868762,506.711635,517.985366,491.163455,404.331016,512.0
17974.08,44650.56601,24.721494,25.394951,40.127819,81.513706,243.846505,446.868762,506.711635,517.985366,491.163455,404.331016,512.2
17975.036,44650.566021,24.721494,25.394951,40.127819,81.513706,243.846505,446.868762,506.711635,517.985366,491.163455,404.331016,512.2
17976.096,44650.566033,24.72402,25.406802,40.119846,81.516174,243.82141,447.458949,507.459251,518.693911,491.908381,404.999866,512.5
17977.053,44650.566044,24.72402,25.406802,40.119846,81.516174,243.82141,447.458949,507.459251,518.693911,491.908381,404.999866,512.5
17978.01,44650.566056,24.72402,25.406802,40.119846,81.516174,243.82141,447.458949,507.459251,518.693911,491.908381,404.999866,512.6
17979.07,44650.566068,24.72402,25.406802,40.119846,81.516174,243.82141,447.458949,507.459251,518.693911,491.908381,404.999866,512.8
17980.027,44650.566079,24.72402,25.406802,40.119846,81.516174,243.82141,447.458949,507.459251,518.693911,491.908381,404.999866,512.8
17981.087,44650.566091,24.729755,25.420088,40.132369,81.521279,243.815007,448.047656,508.201469,519.397199,492.673771,405.663277,513.1
17982.039,44650.566102,24.729755,25.420088,40.132369,81.521279,243.815007,448.047656,508.201469,519.397199,492.673771,405.663277,513.1
17983.097,44650.566114,24.729755,25.420088,40.132369,81.521279,243.815007,448.047656,508.201469,519.397199,492.673771,405.663277,513.3
17984.051,44650.566125,24.729755,25.420088,40.132369,81.521279,243.815007,448.047656,508.201469,519.397199,492.673771,405.663277,513.3
17985.005,44650.566136,24.729755,25.420088,40.132369,81.521279,243.815007,448.047656,508.201469,519.397199,492.673771,405.663277,513.5
17986.066,44650.566149,24.731673,25.417046,40.132449,81.515971,243.795103,448.630524,508.948891,520.09115,493.420644,406.334962,513.6
17987.021,44650.56616,24.731673,25.417046,40.132449,81.515971,243.795103,448.630524,508.948891,520.09115,493.420644,406.334962,513.8
17988.081,44650.566172,24.731673,25.417046,40.132449,81.515971,243.795103,448.630524,508.948891,520.09115,493.420644,406.334962,514.0
17989.037,44650.566183,24.731673,25.417046,40.132449,81.515971,243.795103,448.630524,508.948891,520.09115,493.420644,406.334962,514.0
17990.095,44650.566195,24.731673,25.417046,40.132449,81.515971,243.795103,448.630524,508.948891,520.09115,493.420644,406.334962,514.3
17991.052,44650.566206,24.726377,25.42049,40.130067,81.512824,243.780001,449.201689,509.691677,520.802443,494.185125,406.996668,514.3
17992.008,44650.566218,24.726377,25.42049,40.130067,81.512824,243.780001,449.201689,509.691677,520.802443,494.185125,406.996668,514.4
17993.068,44650.56623,24.726377,25.42049,40.130067,81.512824,243.780001,449.201689,509.691677,520.802443,494.185125,406.996668,514.5
17994.021,44650.566241,24.726377,25.42049,40.130067,81.512824,243.780001,449.201689,509.691677,520.802443,494.185125,406.996668,514.6
17995.081,44650.566255,24.726377,25.42049,40.130067,81.512824,243.780001,449.201689,509.691677,520.802443,494.185125,406.996668,514.9
17996.014,44650.566264,24.735255,25.425703,40.141093,81.514737,243.75892,449.782386,510.441854,521.506695,494.942971,407.665011,514.9
17997.069,44650.566276,24.735255,25.425703,40.141093,81.514737,243.75892,449.782386,510.441854,521.506695,494.942971,407.665011,515.1
17998.022,44650.566287,24.735255,25.425703,40.141093,81.514737,243.75892,449.782386,510.441854,521.506695,494.942971,407.665011,515.2
17999.084,44650.566299,24.735255,25.425703,40.141093,81.514737,243.75892,449.782386,510.441854,521.506695,494.942971,407.665011,515.5
18000.039,44650.56631,24.735255,25.425703,40.141093,81.514737,243.75892,449.782386,510.441854,521.506695,494.942971,407.665011,515.5
