Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
19389.021,44650.582387,25.220973,25.867216,40.449094,81.635005,252.759025,552.619237,557.500364,558.288146,557.357193,452.166044,571.5
19390.081,44650.582399,25.220973,25.867216,40.449094,81.635005,252.759025,552.619237,557.500364,558.288146,557.357193,452.166044,571.5
19391.037,44650.58241,25.217331,25.873252,40.440143,81.644646,252.822396,552.94831,557.563185,558.363719,557.442496,452.268742,571.5
19392.095,44650.582422,25.217331,25.873252,40.440143,81.644646,252.822396,552.94831,557.563185,558.363719,557.442496,452.268742,571.6
19393.053,44650.582433,25.217331,25.873252,40.440143,81.644646,252.822396,552.94831,557.563185,558.363719,557.442496,452.268742,571.6
19394.019,44650.582445,25.217331,25.873252,40.440143,81.644646,252.822396,552.94831,557.563185,558.363719,557.442496,452.268742,571.6
19395.023,44650.582456,25.217331,25.873252,40.440143,81.644646,252.822396,552.94831,557.563185,558.363719,557.442496,452.268742,571.6
19396.019,44650.582468,25.224609,25.875097,40.444003,81.64879,252.881085,553.269894,557.625746,558.431315,557.535258,452.368038,571.6
19397.001,44650.582479,25.224609,25.875097,40.444003,81.64879,252.881085,553.269894,557.625746,558.431315,557.535258,452.368038,571.7
19398.083,44650.582492,25.224609,25.875097,40.444003,81.64879,252.881085,553.269894,557.625746,558.431315,557.535258,452.368038,571.7
19399.047,44650.582503,25.224609,25.875097,40.444003,81.64879,252.881085,553.269894,557.625746,558.431315,557.535258,452.368038,571.7
19400.002,44650.582514,25.224609,25.875097,40.444003,81.64879,252.881085,553.269894,557.625746,558.431315,557.535258,452.368038,571.7
19401.066,44650.582526,25.227266,25.884951,40.460355,81.666723,252.94988,553.584242,557.700978,558.511133,557.616641,452.484525,571.8
19402.026,44650.582537,25.227266,25.884951,40.460355,81.666723,252.94988,553.584242,557.700978,558.511133,557.616641,452.484525,571.8
19403.085,44650.582549,25.227266,25.884951,40.460355,81.666723,252.94988,553.584242,557.700978,558.511133,557.616641,452.484525,571.8
19404.045,44650.582561,25.227266,25.884951,40.460355,81.666723,252.94988,553.584242,557.700978,558.511133,557.616641,452.484525,571.8
19405.001,44650.582572,25.227266,25.884951,40.460355,81.666723,252.94988,553.584242,557.700978,558.511133,557.616641,452.484525,571.8
19406.062,44650.582584,25.235363,25.881479,40.464345,81.670307,253.021695,553.881232,557.765558,558.592492,557.706276,452.592461,571.9
19407.018,44650.582595,25.235363,25.881479,40.464345,81.670307,253.021695,553.881232,557.765558,558.592492,557.706276,452.592461,571.9
19408.079,44650.582607,25.235363,25.881479,40.464345,81.670307,253.021695,553.881232,557.765558,558.592492,557.706276,452.592461,571.9
19409.036,44650.582618,25.235363,25.881479,40.464345,81.670307,253.021695,553.881232,557.765558,558.592492,557.706276,452.592461,571.9
19410.097,44650.582631,25.235363,25.881479,40.464345,81.670307,253.021695,553.881232,557.765558,558.592492,557.706276,452.592461,572.0
19411.052,44650.582642,25.233025,25.880676,40.460275,81.677647,253.078726,554.162874,557.833668,558.65624,557.794072,452.696535,572.0
19412.008,44650.582653,25.233025,25.880676,40.460275,81.677647,253.078726,554.162874,557.833668,558.65624,557.794072,452.696535,572.0
19413.069,44650.582665,25.233025,25.880676,40.460275,81.677647,253.078726,554.162874,557.833668,558.65624,557.794072,452.696535,572.1
19414.026,44650.582676,25.233025,25.880676,40.460275,81.677647,253.078726,554.162874,557.833668,558.65624,557.794072,452.696535,572.1
19415.089,44650.582688,25.233025,25.880676,40.460275,81.677647,253.078726,554.162874,557.833668,558.65624,557.794072,452.696535,572.1
19416.047,44650.582699,25.233381,25.888584,40.464327,81.684387,253.147204,554.438786,557.897974,558.723007,557.884216,452.808793,572.1
19417.002,44650.58271,25.233381,25.888584,40.464327,81.684387,253.147204,554.438786,557.897974,558.723007,557.884216,452.808793,572.1
19418.066,44650.582723,25.233381,25.888584,40.464327,81.684387,253.147204,554.438786,557.897974,558.723007,557.884216,452.808793,572.2
19419.021,44650.582734,25.233381,25.888584,40.464327,81.684387,253.147204,554.438786,557.897974,558.723007,557.884216,452.808793,572.2
19420.084,44650.582746,25.233381,25.888584,40.464327,81.684387,253.147204,554.438786,557.897974,558.723007,557.884216,452.808793,572.2
19421.039,44650.582757,25.235194,25.888862,40.467174,81.697621,253.199013,554.710856,557.966176,558.784834,557.967853,452.92765,572.2
19422.1,44650.58277,25.235194,25.888862,40.467174,81.697621,253.199013,554.710856,557.966176,558.784834,557.967853,452.92765,572.3
19423.055,44650.582781,25.235194,25.888862,40.467174,81.697621,253.199013,554.710856,557.966176,558.784834,557.967853,452.92765,572.3
19424.012,44650.582792,25.235194,25.888862,40.467174,81.697621,253.199013,554.710856,557.966176,558.784834,557.967853,452.92765,572.3
19425.079,44650.582804,25.235194,25.888862,40.467174,81.697621,253.199013,554.710856,557.966176,558.784834,557.967853,452.92765,572.4
19426.054,44650.582815,25.241152,25.888799,40.471423,81.694813,253.271198,554.965147,558.032775,558.845618,558.062416,453.044562,572.4
19427.009,44650.582826,25.241152,25.888799,40.471423,81.694813,253.271198,554.965147,558.032775,558.845618,558.062416,453.044562,572.4
19428.069,44650.582839,25.241152,25.888799,40.471423,81.694813,253.271198,554.965147,558.032775,558.845618,558.062416,453.044562,572.4
19429.026,44650.58285,25.241152,25.888799,40.471423,81.694813,253.271198,554.965147,558.032775,558.845618,558.062416,453.044562,572.5
19430.106,44650.582862,25.241152,25.888799,40.471423,81.694813,253.271198,554.965147,558.032775,558.845618,558.062416,453.044562,572.5
19431.078,44650.582873,25.234829,25.897819,40.472718,81.713853,253.329169,555.220402,558.09939,558.923307,558.147375,453.171023,572.5
19432.041,44650.582885,25.234829,25.897819,40.472718,81.713853,253.329169,555.220402,558.09939,558.923307,558.147375,453.171023,572.5
19433.001,44650.582896,25.234829,25.897819,40.472718,81.713853,253.329169,555.220402,558.09939,558.923307,558.147375,453.171023,572.6
19434.068,44650.582908,25.234829,25.897819,40.472718,81.713853,253.329169,555.220402,558.09939,558.923307,558.147375,453.171023,572.6
19435.023,44650.582919,25.234829,25.897819,40.472718,81.713853,253.329169,555.220402,558.09939,558.923307,558.147375,453.171023,572.6
19436.09,44650.582931,25.244232,25.896361,40.471079,81.724159,253.396249,555.436824,558.172448,558.985293,558.233409,453.268167,572.7
19437.05,44650.582943,25.244232,25.896361,40.471079,81.724159,253.396249,555.436824,558.172448,558.985293,558.233409,453.268167,572.7
19438.005,44650.582954,25.244232,25.896361,40.471079,81.724159,253.396249,555.436824,558.172448,558.985293,558.233409,453.268167,572.7
19439.066,44650.582966,25.244232,25.896361,40.471079,81.724159,253.396249,555.436824,558.172448,558.985293,558.233409,453.268167,572.7
19440.038,44650.582977,25.244232,25.896361,40.471079,81.724159,253.396249,555.436824,558.172448,558.985293,558.233409,453.268167,572.7
19441.104,44650.582989,25.251734,25.892885,40.481081,81.728391,253.460868,555.648437,558.240137,559.05466,558.31698,453.384039,572.8
