Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
4399.102,44650.408892,21.845728,22.175865,29.887848,55.036162,164.598584,371.331337,481.914672,504.152773,484.222543,367.23854,688.5,500.5
4400.05,44650.408903,21.845728,22.175865,29.887848,55.036162,164.598584,371.331337,481.914672,504.152773,484.222543,367.23854,688.5,500.5
4401.002,44650.408914,21.843923,22.176783,29.894901,55.080627,164.740914,371.42197,481.999209,504.246163,484.301344,367.29682,688.5,500.5
4402.052,44650.408926,21.843923,22.176783,29.894901,55.080627,164.740914,371.42197,481.999209,504.246163,484.301344,367.29682,688.5,500.5
4403.004,44650.408937,21.843923,22.176783,29.894901,55.080627,164.740914,371.42197,481.999209,504.246163,484.301344,367.29682,688.5,500.6
4404.055,44650.408949,21.843923,22.176783,29.894901,55.080627,164.740914,371.42197,481.999209,504.246163,484.301344,367.29682,688.5,500.6
4405.004,44650.40896,21.843923,22.176783,29.894901,55.080627,164.740914,371.42197,481.999209,504.246163,484.301344,367.29682,688.5,500.6
4406.057,44650.408973,21.835132,22.17794,29.906994,55.124847,164.885138,371.520528,482.083185,504.345496,484.383058,367.356348,688.5,500.6
4407.005,44650.408984,21.835132,22.17794,29.906994,55.124847,164.885138,371.520528,482.083185,504.345496,484.383058,367.356348,688.5,500.6
4408.055,44650.408996,21.835132,22.17794,29.906994,55.124847,164.885138,371.520528,482.083185,504.345496,484.383058,367.356348,688.5,500.6
4409.103,44650.409008,21.835132,22.17794,29.906994,55.124847,164.885138,371.520528,482.083185,504.345496,484.383058,367.356348,958.5,500.7
4410.052,44650.409019,21.835132,22.17794,29.906994,55.124847,164.885138,371.520528,482.083185,504.345496,484.383058,367.356348,958.5,500.7
4411.006,44650.40903,21.848302,22.183292,29.925469,55.16691,165.038686,371.621726,482.174267,504.461592,484.488006,367.433291,958.5,500.7
4412.057,44650.409042,21.848302,22.183292,29.925469,55.16691,165.038686,371.621726,482.174267,504.461592,484.488006,367.433291,958.5,500.7
4413.005,44650.409053,21.848302,22.183292,29.925469,55.16691,165.038686,371.621726,482.174267,504.461592,484.488006,367.433291,729.0,500.7
4414.06,44650.409065,21.848302,22.183292,29.925469,55.16691,165.038686,371.621726,482.174267,504.461592,484.488006,367.433291,729.0,500.8
4415.005,44650.409076,21.848302,22.183292,29.925469,55.16691,165.038686,371.621726,482.174267,504.461592,484.488006,367.433291,729.0,500.8
4416.058,44650.409088,21.841815,22.176807,29.928061,55.212069,165.174729,371.722229,482.271518,504.583302,484.579742,367.509444,729.0,500.8
4417.009,44650.409099,21.841815,22.176807,29.928061,55.212069,165.174729,371.722229,482.271518,504.583302,484.579742,367.509444,729.0,500.8
4418.062,44650.409112,21.841815,22.176807,29.928061,55.212069,165.174729,371.722229,482.271518,504.583302,484.579742,367.509444,729.0,500.8
4419.016,44650.409123,21.841815,22.176807,29.928061,55.212069,165.174729,371.722229,482.271518,504.583302,484.579742,367.509444,729.0,500.9
4420.069,44650.409135,21.841815,22.176807,29.928061,55.212069,165.174729,371.722229,482.271518,504.583302,484.579742,367.509444,729.0,500.9
4421.058,44650.409146,21.828684,22.182268,29.937936,55.249275,165.319341,371.835088,482.371703,504.722194,484.673066,367.581534,729.0,500.9
