Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
20889.04,44650.599748,25.85985,26.523399,41.799849,87.428384,297.576621,562.871839,564.712486,564.301035,564.142743,463.53946,580.7
20890.104,44650.59976,25.85985,26.523399,41.799849,87.428384,297.576621,562.871839,564.712486,564.301035,564.142743,463.53946,580.6
20891.06,44650.599771,25.858986,26.529729,41.813875,87.466556,297.521112,562.77951,564.630199,564.191902,564.03775,463.357983,580.5
20892.089,44650.599783,25.858986,26.529729,41.813875,87.466556,297.521112,562.77951,564.630199,564.191902,564.03775,463.357983,580.5
20893.045,44650.599794,25.858986,26.529729,41.813875,87.466556,297.521112,562.77951,564.630199,564.191902,564.03775,463.357983,580.5
20894.103,44650.599807,25.858986,26.529729,41.813875,87.466556,297.521112,562.77951,564.630199,564.191902,564.03775,463.357983,580.4
20895.056,44650.599818,25.858986,26.529729,41.813875,87.466556,297.521112,562.77951,564.630199,564.191902,564.03775,463.357983,580.4
20896.01,44650.599829,25.861023,26.530939,41.817346,87.517492,297.456996,562.688884,564.537418,564.090284,563.915996,463.185608,580.3
20897.072,44650.599841,25.861023,26.530939,41.817346,87.517492,297.456996,562.688884,564.537418,564.090284,563.915996,463.185608,580.3
20898.029,44650.599852,25.861023,26.530939,41.817346,87.517492,297.456996,562.688884,564.537418,564.090284,563.915996,463.185608,580.3
20899.041,44650.599864,25.861023,26.530939,41.817346,87.517492,297.456996,562.688884,564.537418,564.090284,563.915996,463.185608,580.2
20900.104,44650.599876,25.861023,26.530939,41.817346,87.517492,297.456996,562.688884,564.537418,564.090284,563.915996,463.185608,580.2
20901.06,44650.599887,25.858828,26.527566,41.823144,87.536526,297.40692,562.594679,564.448013,563.974703,563.79404,462.999909,580.2
20902.013,44650.599898,25.858828,26.527566,41.823144,87.536526,297.40692,562.594679,564.448013,563.974703,563.79404,462.999909,580.1
20903.071,44650.599911,25.858828,26.527566,41.823144,87.536526,297.40692,562.594679,564.448013,563.974703,563.79404,462.999909,580.0
20904.085,44650.599922,25.858828,26.527566,41.823144,87.536526,297.40692,562.594679,564.448013,563.974703,563.79404,462.999909,580.0
20905.003,44650.599933,25.858828,26.527566,41.823144,87.536526,297.40692,562.594679,564.448013,563.974703,563.79404,462.999909,580.0
20906.101,44650.599945,25.850764,26.529295,41.825692,87.564174,297.349254,562.491756,564.357262,563.865384,563.687517,462.812524,579.9
20907.076,44650.599957,25.850764,26.529295,41.825692,87.564174,297.349254,562.491756,564.357262,563.865384,563.687517,462.812524,579.8
20908.05,44650.599968,25.850764,26.529295,41.825692,87.564174,297.349254,562.491756,564.357262,563.865384,563.687517,462.812524,579.8
20909.008,44650.599979,25.850764,26.529295,41.825692,87.564174,297.349254,562.491756,564.357262,563.865384,563.687517,462.812524,579.8
20910.097,44650.599992,25.850764,26.529295,41.825692,87.564174,297.349254,562.491756,564.357262,563.865384,563.687517,462.812524,579.7
20911.053,44650.600003,25.857616,26.536143,41.830129,87.60195,297.287243,562.396803,564.263265,563.774297,563.566786,462.642068,579.7
20912.021,44650.600014,25.857616,26.536143,41.830129,87.60195,297.287243,562.396803,564.263265,563.774297,563.566786,462.642068,579.7
20913.08,44650.600026,25.857616,26.536143,41.830129,87.60195,297.287243,562.396803,564.263265,563.774297,563.566786,462.642068,579.6
20914.037,44650.600037,25.857616,26.536143,41.830129,87.60195,297.287243,562.396803,564.263265,563.774297,563.566786,462.642068,579.6
20915.05,44650.600049,25.857616,26.536143,41.830129,87.60195,297.287243,562.396803,564.263265,563.774297,563.566786,462.642068,579.5
20916.008,44650.60006,25.857245,26.517847,41.835746,87.632283,297.241704,562.295155,564.160538,563.670452,563.458468,462.453555,579.5
20917.068,44650.600072,25.857245,26.517847,41.835746,87.632283,297.241704,562.295155,564.160538,563.670452,563.458468,462.453555,579.4
20918.021,44650.600083,25.857245,26.517847,41.835746,87.632283,297.241704,562.295155,564.160538,563.670452,563.458468,462.453555,579.4
20919.084,44650.600096,25.857245,26.517847,41.835746,87.632283,297.241704,562.295155,564.160538,563.670452,563.458468,462.453555,579.3
20920.045,44650.600107,25.857245,26.517847,41.835746,87.632283,297.241704,562.295155,564.160538,563.670452,563.458468,462.453555,579.3
20921.01,44650.600118,25.863374,26.524916,41.844719,87.662945,297.182338,562.203671,564.079566,563.578182,563.332863,462.276305,579.3
20922.074,44650.60013,25.863374,26.524916,41.844719,87.662945,297.182338,562.203671,564.079566,563.578182,563.332863,462.276305,579.2
20923.031,44650.600141,25.863374,26.524916,41.844719,87.662945,297.182338,562.203671,564.079566,563.578182,563.332863,462.276305,579.2
20924.138,44650.600154,25.863374,26.524916,41.844719,87.662945,297.182338,562.203671,564.079566,563.578182,563.332863,462.276305,579.1
20925.092,44650.600165,25.863374,26.524916,41.844719,87.662945,297.182338,562.203671,564.079566,563.578182,563.332863,462.276305,579.1
20926.02,44650.600176,25.862579,26.518933,41.84895,87.69432,297.1337,562.100018,563.988517,563.45805,563.21508,462.098374,579.1
20927.077,44650.600188,25.862579,26.518933,41.84895,87.69432,297.1337,562.100018,563.988517,563.45805,563.21508,462.098374,579.0
20928.03,44650.600199,25.862579,26.518933,41.84895,87.69432,297.1337,562.100018,563.988517,563.45805,563.21508,462.098374,579.0
20929.088,44650.600211,25.862579,26.518933,41.84895,87.69432,297.1337,562.100018,563.988517,563.45805,563.21508,462.098374,578.9
20930.043,44650.600223,25.862579,26.518933,41.84895,87.69432,297.1337,562.100018,563.988517,563.45805,563.21508,462.098374,578.9
20931.002,44650.600234,25.863901,26.522023,41.853524,87.719264,297.077459,562.0071,563.892377,563.346474,563.096905,461.913432,578.8
20932.002,44650.600245,25.863901,26.522023,41.853524,87.719264,297.077459,562.0071,563.892377,563.346474,563.096905,461.913432,578.8
20933.062,44650.600257,25.863901,26.522023,41.853524,87.719264,297.077459,562.0071,563.892377,563.346474,563.096905,461.913432,578.7
20934.019,44650.600269,25.863901,26.522023,41.853524,87.719264,297.077459,562.0071,563.892377,563.346474,563.096905,461.913432,578.7
20935.065,44650.600281,25.863901,26.522023,41.853524,87.719264,297.077459,562.0071,563.892377,563.346474,563.096905,461.913432,578.7
20936.022,44650.600292,25.85342,26.524756,41.859554,87.759991,297.022774,561.905067,563.79053,563.237469,562.96989,461.732076,578.6
20937.081,44650.600304,25.85342,26.524756,41.859554,87.759991,297.022774,561.905067,563.79053,563.237469,562.96989,461.732076,578.5
20938.039,44650.600315,25.85342,26.524756,41.859554,87.759991,297.022774,561.905067,563.79053,563.237469,562.96989,461.732076,578.5
20939.1,44650.600327,25.85342,26.524756,41.859554,87.759991,297.022774,561.905067,563.79053,563.237469,562.96989,461.732076,578.4
20940.053,44650.600338,25.85342,26.524756,41.859554,87.759991,297.022774,561.905067,563.79053,563.237469,562.96989,461.732076,578.4
20941.025,44650.60035,25.859575,26.524185,41.863392,87.779961,296.973743,561.797122,563.699441,563.121324,562.854529,461.550065,578.4
20942.086,44650.600362,25.859575,26.524185,41.863392,87.779961,296.973743,561.797122,563.699441,563.121324,562.854529,461.550065,578.3
20943.045,44650.600373,25.859575,26.524185,41.863392,87.779961,296.973743,561.797122,563.699441,563.121324,562.854529,461.550065,578.3
20944.149,44650.600386,25.859575,26.524185,41.863392,87.779961,296.973743,561.797122,563.699441,563.121324,562.854529,461.550065,578.2
20945.105,44650.600397,25.859575,26.524185,41.863392,87.779961,296.973743,561.797122,563.699441,563.121324,562.854529,461.550065,578.2
20946.061,44650.600408,25.856676,26.526242,41.871754,87.815072,296.918142,561.708072,563.603363,563.022787,562.720532,461.379312,578.2
20947.019,44650.600419,25.856676,26.526242,41.871754,87.815072,296.918142,561.708072,563.603363,563.022787,562.720532,461.379312,578.2
20948.079,44650.600431,25.856676,26.526242,41.871754,87.815072,296.918142,561.708072,563.603363,563.022787,562.720532,461.379312,578.0
