Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
15481.085,44650.537156,24.273224,24.950974,39.93548,81.571063,246.883189,466.403392,533.098078,540.550744,517.779498,425.789147,538.5
15482.037,44650.537167,24.273224,24.950974,39.93548,81.571063,246.883189,466.403392,533.098078,540.550744,517.779498,425.789147,538.4
15483.067,44650.537179,24.273224,24.950974,39.93548,81.571063,246.883189,466.403392,533.098078,540.550744,517.779498,425.789147,538.4
15484.088,44650.537191,24.273224,24.950974,39.93548,81.571063,246.883189,466.403392,533.098078,540.550744,517.779498,425.789147,538.3
15485.043,44650.537202,24.273224,24.950974,39.93548,81.571063,246.883189,466.403392,533.098078,540.550744,517.779498,425.789147,538.3
15486.104,44650.537214,24.278614,24.947858,39.9334,81.568902,246.909858,466.220209,532.914324,540.392547,517.584686,425.569398,538.3
15487.021,44650.537225,24.278614,24.947858,39.9334,81.568902,246.909858,466.220209,532.914324,540.392547,517.584686,425.569398,538.3
15488.076,44650.537237,24.278614,24.947858,39.9334,81.568902,246.909858,466.220209,532.914324,540.392547,517.584686,425.569398,538.2
15489.03,44650.537248,24.278614,24.947858,39.9334,81.568902,246.909858,466.220209,532.914324,540.392547,517.584686,425.569398,538.2
15490.086,44650.53726,24.278614,24.947858,39.9334,81.568902,246.909858,466.220209,532.914324,540.392547,517.584686,425.569398,538.1
15491.041,44650.537271,24.279974,24.963153,39.942399,81.575465,246.939945,466.029975,532.726956,540.223915,517.399138,425.355908,538.1
15492.095,44650.537283,24.279974,24.963153,39.942399,81.575465,246.939945,466.029975,532.726956,540.223915,517.399138,425.355908,538.1
15493.015,44650.537294,24.279974,24.963153,39.942399,81.575465,246.939945,466.029975,532.726956,540.223915,517.399138,425.355908,538.1
15494.072,44650.537306,24.279974,24.963153,39.942399,81.575465,246.939945,466.029975,532.726956,540.223915,517.399138,425.355908,538.0
