Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
311.082,44650.361577,21.562507,21.450912,21.939179,23.766824,34.92745,90.817862,120.843523,124.034164,122.71948,95.251725,1660.5,140.1
312.026,44650.361588,21.562507,21.450912,21.939179,23.766824,34.92745,90.817862,120.843523,124.034164,122.71948,95.251725,1660.5,140.1
313.075,44650.3616,21.562507,21.450912,21.939179,23.766824,34.92745,90.817862,120.843523,124.034164,122.71948,95.251725,1660.5,140.4
314.025,44650.361611,21.562507,21.450912,21.939179,23.766824,34.92745,90.817862,120.843523,124.034164,122.71948,95.251725,1660.5,140.4
315.075,44650.361623,21.562507,21.450912,21.939179,23.766824,34.92745,90.817862,120.843523,124.034164,122.71948,95.251725,1660.5,140.6
316.021,44650.361634,21.561432,21.46583,21.939567,23.791211,34.998848,91.129461,121.294172,124.543392,123.194448,95.578335,1633.5,140.6
317.07,44650.361646,21.561432,21.46583,21.939567,23.791211,34.998848,91.129461,121.294172,124.543392,123.194448,95.578335,1633.5,140.8
318.014,44650.361657,21.561432,21.46583,21.939567,23.791211,34.998848,91.129461,121.294172,124.543392,123.194448,95.578335,1633.5,140.9
319.062,44650.361669,21.561432,21.46583,21.939567,23.791211,34.998848,91.129461,121.294172,124.543392,123.194448,95.578335,1633.5,141.1
320.006,44650.36168,21.561432,21.46583,21.939567,23.791211,34.998848,91.129461,121.294172,124.543392,123.194448,95.578335,1660.5,141.2
321.057,44650.361693,21.567133,21.466319,21.945994,23.797273,35.086852,91.434887,121.738122,125.039628,123.679197,95.897116,1660.5,141.3
322.105,44650.361705,21.567133,21.466319,21.945994,23.797273,35.086852,91.434887,121.738122,125.039628,123.679197,95.897116,1660.5,141.7
323.05,44650.361716,21.567133,21.466319,21.945994,23.797273,35.086852,91.434887,121.738122,125.039628,123.679197,95.897116,1660.5,141.7
324.095,44650.361728,21.567133,21.466319,21.945994,23.797273,35.086852,91.434887,121.738122,125.039628,123.679197,95.897116,1660.5,141.9
325.039,44650.361739,21.567133,21.466319,21.945994,23.797273,35.086852,91.434887,121.738122,125.039628,123.679197,95.897116,1660.5,141.9
326.087,44650.361751,21.56989,21.454505,21.955891,23.808808,35.167515,91.734749,122.197565,125.537027,124.166621,96.220512,1660.5,142.2
327.032,44650.361762,21.56989,21.454505,21.955891,23.808808,35.167515,91.734749,122.197565,125.537027,124.166621,96.220512,1660.5,142.2
328.079,44650.361774,21.56989,21.454505,21.955891,23.808808,35.167515,91.734749,122.197565,125.537027,124.166621,96.220512,1633.5,142.5
329.025,44650.361785,21.56989,21.454505,21.955891,23.808808,35.167515,91.734749,122.197565,125.537027,124.166621,96.220512,1633.5,142.5
330.073,44650.361797,21.56989,21.454505,21.955891,23.808808,35.167515,91.734749,122.197565,125.537027,124.166621,96.220512,1633.5,142.6
331.015,44650.361808,21.56932,21.462938,21.953719,23.828275,35.238241,92.052698,122.655944,126.049525,124.661413,96.564774,1633.5,142.8
332.066,44650.36182,21.56932,21.462938,21.953719,23.828275,35.238241,92.052698,122.655944,126.049525,124.661413,96.564774,1660.5,142.9
333.009,44650.361831,21.56932,21.462938,21.953719,23.828275,35.238241,92.052698,122.655944,126.049525,124.661413,96.564774,1660.5,143.1
334.059,44650.361843,21.56932,21.462938,21.953719,23.828275,35.238241,92.052698,122.655944,126.049525,124.661413,96.564774,1660.5,143.2
335.004,44650.361854,21.56932,21.462938,21.953719,23.828275,35.238241,92.052698,122.655944,126.049525,124.661413,96.564774,1660.5,143.3
336.054,44650.361866,21.570777,21.466173,21.956358,23.847342,35.325526,92.389949,123.131494,126.580778,125.156576,96.919676,1660.5,143.4
337.001,44650.361877,21.570777,21.466173,21.956358,23.847342,35.325526,92.389949,123.131494,126.580778,125.156576,96.919676,1660.5,143.6
338.047,44650.361889,21.570777,21.466173,21.956358,23.847342,35.325526,92.389949,123.131494,126.580778,125.156576,96.919676,1660.5,143.7
339.096,44650.361901,21.570777,21.466173,21.956358,23.847342,35.325526,92.389949,123.131494,126.580778,125.156576,96.919676,1660.5,143.9
340.042,44650.361912,21.570777,21.466173,21.956358,23.847342,35.325526,92.389949,123.131494,126.580778,125.156576,96.919676,1660.5,143.9
341.092,44650.361924,21.570536,21.464036,21.960896,23.85731,35.402282,92.711382,123.604328,127.095645,125.669266,97.26411,1660.5,144.3
342.037,44650.361935,21.570536,21.464036,21.960896,23.85731,35.402282,92.711382,123.604328,127.095645,125.669266,97.26411,1660.5,144.3
343.086,44650.361948,21.570536,21.464036,21.960896,23.85731,35.402282,92.711382,123.604328,127.095645,125.669266,97.26411,1660.5,144.6
344.03,44650.361958,21.570536,21.464036,21.960896,23.85731,35.402282,92.711382,123.604328,127.095645,125.669266,97.26411,1633.5,144.6
345.082,44650.361971,21.570536,21.464036,21.960896,23.85731,35.402282,92.711382,123.604328,127.095645,125.669266,97.26411,1633.5,144.8
346.026,44650.361982,21.563313,21.459182,21.95362,23.871444,35.468186,93.049206,124.08414,127.625018,126.174455,97.609701,1633.5,144.8
347.074,44650.361994,21.563313,21.459182,21.95362,23.871444,35.468186,93.049206,124.08414,127.625018,126.174455,97.609701,1633.5,145.1
348.019,44650.362005,21.563313,21.459182,21.95362,23.871444,35.468186,93.049206,124.08414,127.625018,126.174455,97.609701,1863.0,145.1
349.07,44650.362017,21.563313,21.459182,21.95362,23.871444,35.468186,93.049206,124.08414,127.625018,126.174455,97.609701,1863.0,145.3
350.015,44650.362028,21.563313,21.459182,21.95362,23.871444,35.468186,93.049206,124.08414,127.625018,126.174455,97.609701,1863.0,145.3
351.072,44650.36204,21.560834,21.463575,21.956971,23.887793,35.543293,93.396127,124.56609,128.166751,126.696076,97.976443,1863.0,145.5
352.019,44650.362051,21.560834,21.463575,21.956971,23.887793,35.543293,93.396127,124.56609,128.166751,126.696076,97.976443,1660.5,145.6
