Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
5119.101,44650.417226,21.922641,22.325443,31.559234,60.418164,182.269212,388.992816,496.437826,518.211489,498.604078,382.120007,810.0,516.4
5120.053,44650.417237,21.922641,22.325443,31.559234,60.418164,182.269212,388.992816,496.437826,518.211489,498.604078,382.120007,810.0,516.4
5121.026,44650.417248,21.922238,22.330841,31.563702,60.453905,182.360613,389.121222,496.553279,518.293143,498.719745,382.232123,567.0,516.4
5122.078,44650.41726,21.922238,22.330841,31.563702,60.453905,182.360613,389.121222,496.553279,518.293143,498.719745,382.232123,567.0,516.5
5123.023,44650.417271,21.922238,22.330841,31.563702,60.453905,182.360613,389.121222,496.553279,518.293143,498.719745,382.232123,567.0,516.5
5124.075,44650.417283,21.922238,22.330841,31.563702,60.453905,182.360613,389.121222,496.553279,518.293143,498.719745,382.232123,567.0,516.5
5125.021,44650.417294,21.922238,22.330841,31.563702,60.453905,182.360613,389.121222,496.553279,518.293143,498.719745,382.232123,810.0,516.5
5126.079,44650.417306,21.92301,22.330193,31.575297,60.476057,182.46475,389.246315,496.675376,518.367131,498.840487,382.338072,810.0,516.6
5127.027,44650.417317,21.92301,22.330193,31.575297,60.476057,182.46475,389.246315,496.675376,518.367131,498.840487,382.338072,810.0,516.6
5128.081,44650.417329,21.92301,22.330193,31.575297,60.476057,182.46475,389.246315,496.675376,518.367131,498.840487,382.338072,810.0,516.6
5129.03,44650.41734,21.92301,22.330193,31.575297,60.476057,182.46475,389.246315,496.675376,518.367131,498.840487,382.338072,810.0,516.6
5130.079,44650.417353,21.92301,22.330193,31.575297,60.476057,182.46475,389.246315,496.675376,518.367131,498.840487,382.338072,810.0,516.7
5131.027,44650.417364,21.929483,22.329205,31.586074,60.510965,182.573305,389.377516,496.793551,518.45231,498.96902,382.442651,810.0,516.7
5132.076,44650.417376,21.929483,22.329205,31.586074,60.510965,182.573305,389.377516,496.793551,518.45231,498.96902,382.442651,810.0,516.7
5133.028,44650.417387,21.929483,22.329205,31.586074,60.510965,182.573305,389.377516,496.793551,518.45231,498.96902,382.442651,810.0,516.7
5134.078,44650.417399,21.929483,22.329205,31.586074,60.510965,182.573305,389.377516,496.793551,518.45231,498.96902,382.442651,810.0,516.7
5135.024,44650.41741,21.929483,22.329205,31.586074,60.510965,182.573305,389.377516,496.793551,518.45231,498.96902,382.442651,810.0,516.7
5136.073,44650.417422,21.929071,22.329148,31.598525,60.544525,182.680818,389.512931,496.912587,518.557402,499.088151,382.564304,810.0,516.8
5137.018,44650.417433,21.929071,22.329148,31.598525,60.544525,182.680818,389.512931,496.912587,518.557402,499.088151,382.564304,810.0,516.8
5138.069,44650.417445,21.929071,22.329148,31.598525,60.544525,182.680818,389.512931,496.912587,518.557402,499.088151,382.564304,810.0,516.9
5139.014,44650.417456,21.929071,22.329148,31.598525,60.544525,182.680818,389.512931,496.912587,518.557402,499.088151,382.564304,810.0,516.9
5140.067,44650.417468,21.929071,22.329148,31.598525,60.544525,182.680818,389.512931,496.912587,518.557402,499.088151,382.564304,810.0,516.9
5141.014,44650.417479,21.92699,22.337841,31.612257,60.583015,182.779611,389.647994,497.041655,518.657667,499.205148,382.677792,553.5,516.9
5142.064,44650.417491,21.92699,22.337841,31.612257,60.583015,182.779611,389.647994,497.041655,518.657667,499.205148,382.677792,553.5,516.9
5143.01,44650.417502,21.92699,22.337841,31.612257,60.583015,182.779611,389.647994,497.041655,518.657667,499.205148,382.677792,553.5,516.9
5144.064,44650.417514,21.92699,22.337841,31.612257,60.583015,182.779611,389.647994,497.041655,518.657667,499.205148,382.677792,553.5,517.0
5145.012,44650.417525,21.92699,22.337841,31.612257,60.583015,182.779611,389.647994,497.041655,518.657667,499.205148,382.677792,1039.5,517.0
5146.066,44650.417538,21.937603,22.343596,31.622692,60.613451,182.888895,389.786889,497.167124,518.762392,499.331594,382.796013,1039.5,517.0
5147.012,44650.417549,21.937603,22.343596,31.622692,60.613451,182.888895,389.786889,497.167124,518.762392,499.331594,382.796013,1039.5,517.0
5148.064,44650.417561,21.937603,22.343596,31.622692,60.613451,182.888895,389.786889,497.167124,518.762392,499.331594,382.796013,1039.5,517.1
5149.019,44650.417572,21.937603,22.343596,31.622692,60.613451,182.888895,389.786889,497.167124,518.762392,499.331594,382.796013,1039.5,517.1
5150.003,44650.417583,21.937603,22.343596,31.622692,60.613451,182.888895,389.786889,497.167124,518.762392,499.331594,382.796013,1039.5,517.1
5151.036,44650.417595,21.930218,22.332426,31.627643,60.640357,182.990097,389.898553,497.279625,518.827342,499.45278,382.900179,1039.5,517.1
5152.006,44650.417606,21.930218,22.332426,31.627643,60.640357,182.990097,389.898553,497.279625,518.827342,499.45278,382.900179,1039.5,517.2
5153.087,44650.417619,21.930218,22.332426,31.627643,60.640357,182.990097,389.898553,497.279625,518.827342,499.45278,382.900179,580.5,517.2
5154.086,44650.41763,21.930218,22.332426,31.627643,60.640357,182.990097,389.898553,497.279625,518.827342,499.45278,382.900179,580.5,517.2
5155.032,44650.417641,21.930218,22.332426,31.627643,60.640357,182.990097,389.898553,497.279625,518.827342,499.45278,382.900179,580.5,517.2
