Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
6439.078,44650.432503,22.105859,22.606713,33.964568,67.447907,205.752308,423.99218,539.219105,539.971098,532.35903,412.393907,891.0,545.8
6440.028,44650.432514,22.105859,22.606713,33.964568,67.447907,205.752308,423.99218,539.219105,539.971098,532.35903,412.393907,891.0,545.8
6441.086,44650.432526,22.106808,22.603994,33.981082,67.474967,205.827921,424.122996,539.306932,540.060938,532.46031,412.500742,904.5,545.8
6442.035,44650.432537,22.106808,22.603994,33.981082,67.474967,205.827921,424.122996,539.306932,540.060938,532.46031,412.500742,904.5,545.8
6443.088,44650.432549,22.106808,22.603994,33.981082,67.474967,205.827921,424.122996,539.306932,540.060938,532.46031,412.500742,904.5,545.9
6444.037,44650.43256,22.106808,22.603994,33.981082,67.474967,205.827921,424.122996,539.306932,540.060938,532.46031,412.500742,904.5,545.9
6445.094,44650.432573,22.106808,22.603994,33.981082,67.474967,205.827921,424.122996,539.306932,540.060938,532.46031,412.500742,877.5,546.0
6446.043,44650.432584,22.104514,22.608446,33.986314,67.494307,205.901587,424.258271,539.385923,540.14675,532.573452,412.609717,877.5,546.0
6447.097,44650.432596,22.104514,22.608446,33.986314,67.494307,205.901587,424.258271,539.385923,540.14675,532.573452,412.609717,877.5,546.0
6448.046,44650.432607,22.104514,22.608446,33.986314,67.494307,205.901587,424.258271,539.385923,540.14675,532.573452,412.609717,877.5,546.0
6449.101,44650.432619,22.104514,22.608446,33.986314,67.494307,205.901587,424.258271,539.385923,540.14675,532.573452,412.609717,877.5,546.0
6450.049,44650.43263,22.104514,22.608446,33.986314,67.494307,205.901587,424.258271,539.385923,540.14675,532.573452,412.609717,877.5,546.0
6451.003,44650.432641,22.113602,22.610547,33.991505,67.516931,205.987117,424.381581,539.468991,540.221202,532.693582,412.71029,877.5,546.1
6452.056,44650.432653,22.113602,22.610547,33.991505,67.516931,205.987117,424.381581,539.468991,540.221202,532.693582,412.71029,877.5,546.1
6453.005,44650.432664,22.113602,22.610547,33.991505,67.516931,205.987117,424.381581,539.468991,540.221202,532.693582,412.71029,904.5,546.1
6454.056,44650.432676,22.113602,22.610547,33.991505,67.516931,205.987117,424.381581,539.468991,540.221202,532.693582,412.71029,904.5,546.1
6455.001,44650.432687,22.113602,22.610547,33.991505,67.516931,205.987117,424.381581,539.468991,540.221202,532.693582,412.71029,904.5,546.1
6456.06,44650.4327,22.119038,22.607696,33.998236,67.548056,206.064924,424.519864,539.550987,540.291451,532.80268,412.814852,904.5,546.1
6457.012,44650.432711,22.119038,22.607696,33.998236,67.548056,206.064924,424.519864,539.550987,540.291451,532.80268,412.814852,904.5,546.2
6458.066,44650.432723,22.119038,22.607696,33.998236,67.548056,206.064924,424.519864,539.550987,540.291451,532.80268,412.814852,904.5,546.2
6459.017,44650.432734,22.119038,22.607696,33.998236,67.548056,206.064924,424.519864,539.550987,540.291451,532.80268,412.814852,904.5,546.2
6460.068,44650.432746,22.119038,22.607696,33.998236,67.548056,206.064924,424.519864,539.550987,540.291451,532.80268,412.814852,904.5,546.2
6461.018,44650.432757,22.116503,22.612974,34.017504,67.563253,206.15524,424.658153,539.64535,540.37496,532.919224,412.919361,904.5,546.2
6462.07,44650.432769,22.116503,22.612974,34.017504,67.563253,206.15524,424.658153,539.64535,540.37496,532.919224,412.919361,904.5,546.3
6463.065,44650.432781,22.116503,22.612974,34.017504,67.563253,206.15524,424.658153,539.64535,540.37496,532.919224,412.919361,904.5,546.3
6464.041,44650.432792,22.116503,22.612974,34.017504,67.563253,206.15524,424.658153,539.64535,540.37496,532.919224,412.919361,904.5,546.3
6465.002,44650.432803,22.116503,22.612974,34.017504,67.563253,206.15524,424.658153,539.64535,540.37496,532.919224,412.919361,904.5,546.3
6466.011,44650.432815,22.111932,22.626039,34.013886,67.584934,206.228713,424.792451,539.721444,540.460897,533.038419,413.033638,904.5,546.3
6467.083,44650.432827,22.111932,22.626039,34.013886,67.584934,206.228713,424.792451,539.721444,540.460897,533.038419,413.033638,904.5,546.4
6468.03,44650.432838,22.111932,22.626039,34.013886,67.584934,206.228713,424.792451,539.721444,540.460897,533.038419,413.033638,904.5,546.4
6469.08,44650.43285,22.111932,22.626039,34.013886,67.584934,206.228713,424.792451,539.721444,540.460897,533.038419,413.033638,904.5,546.5
6470.027,44650.432861,22.111932,22.626039,34.013886,67.584934,206.228713,424.792451,539.721444,540.460897,533.038419,413.033638,904.5,546.5
