Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
9619.05,44650.469308,23.148133,23.785435,38.27489,79.955587,258.571502,565.22363,586.825057,587.254101,586.241036,473.213061,648.0,600.1
9620.002,44650.469319,23.148133,23.785435,38.27489,79.955587,258.571502,565.22363,586.825057,587.254101,586.241036,473.213061,648.0,600.1
9621.058,44650.469331,23.143687,23.78513,38.279556,79.977589,258.639607,565.173513,586.836764,587.281152,586.250614,473.225004,648.0,600.1
9622.007,44650.469342,23.143687,23.78513,38.279556,79.977589,258.639607,565.173513,586.836764,587.281152,586.250614,473.225004,648.0,600.1
9623.06,44650.469355,23.143687,23.78513,38.279556,79.977589,258.639607,565.173513,586.836764,587.281152,586.250614,473.225004,648.0,600.1
9624.007,44650.469366,23.143687,23.78513,38.279556,79.977589,258.639607,565.173513,586.836764,587.281152,586.250614,473.225004,648.0,600.1
9625.062,44650.469378,23.143687,23.78513,38.279556,79.977589,258.639607,565.173513,586.836764,587.281152,586.250614,473.225004,648.0,600.1
9626.014,44650.469389,23.152154,23.792055,38.293871,79.998299,258.734661,565.148199,586.868042,587.312654,586.260277,473.253173,634.5,600.1
9627.066,44650.469401,23.152154,23.792055,38.293871,79.998299,258.734661,565.148199,586.868042,587.312654,586.260277,473.253173,634.5,600.1
9628.017,44650.469412,23.152154,23.792055,38.293871,79.998299,258.734661,565.148199,586.868042,587.312654,586.260277,473.253173,634.5,600.1
9629.071,44650.469424,23.152154,23.792055,38.293871,79.998299,258.734661,565.148199,586.868042,587.312654,586.260277,473.253173,634.5,600.1
9630.087,44650.469436,23.152154,23.792055,38.293871,79.998299,258.734661,565.148199,586.868042,587.312654,586.260277,473.253173,634.5,600.1
9631.038,44650.469447,23.1605,23.789402,38.301044,80.01543,258.812398,565.097802,586.885685,587.329738,586.287886,473.260632,634.5,600.1
9632.091,44650.469459,23.1605,23.789402,38.301044,80.01543,258.812398,565.097802,586.885685,587.329738,586.287886,473.260632,634.5,600.1
9633.04,44650.46947,23.1605,23.789402,38.301044,80.01543,258.812398,565.097802,586.885685,587.329738,586.287886,473.260632,634.5,600.1
9634.092,44650.469482,23.1605,23.789402,38.301044,80.01543,258.812398,565.097802,586.885685,587.329738,586.287886,473.260632,634.5,600.1
9635.042,44650.469493,23.1605,23.789402,38.301044,80.01543,258.812398,565.097802,586.885685,587.329738,586.287886,473.260632,634.5,600.1
9636.095,44650.469506,23.143607,23.791906,38.309814,80.04135,258.895352,565.056879,586.909474,587.342888,586.292077,473.282427,634.5,600.1
9637.043,44650.469516,23.143607,23.791906,38.309814,80.04135,258.895352,565.056879,586.909474,587.342888,586.292077,473.282427,634.5,600.1
9638.095,44650.469529,23.143607,23.791906,38.309814,80.04135,258.895352,565.056879,586.909474,587.342888,586.292077,473.282427,634.5,600.1
9639.044,44650.46954,23.143607,23.791906,38.309814,80.04135,258.895352,565.056879,586.909474,587.342888,586.292077,473.282427,634.5,600.1
