Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
11299.035,44650.488753,23.349731,24.032661,39.774921,84.526992,268.548264,472.076541,534.779146,544.365653,520.362021,424.728728,0.0,541.8
11300.089,44650.488765,23.349731,24.032661,39.774921,84.526992,268.548264,472.076541,534.779146,544.365653,520.362021,424.728728,0.0,541.7
11301.042,44650.488776,23.342048,24.036684,39.778885,84.535712,268.530936,471.955358,534.605662,544.210342,520.181998,424.594836,0.0,541.7
11302.096,44650.488788,23.342048,24.036684,39.778885,84.535712,268.530936,471.955358,534.605662,544.210342,520.181998,424.594836,0.0,541.6
11303.047,44650.488799,23.342048,24.036684,39.778885,84.535712,268.530936,471.955358,534.605662,544.210342,520.181998,424.594836,0.0,541.6
11304.104,44650.488811,23.342048,24.036684,39.778885,84.535712,268.530936,471.955358,534.605662,544.210342,520.181998,424.594836,0.0,541.5
11305.055,44650.488822,23.342048,24.036684,39.778885,84.535712,268.530936,471.955358,534.605662,544.210342,520.181998,424.594836,0.0,541.5
11306.01,44650.488833,23.336456,24.038306,39.773829,84.536927,268.514836,471.83222,534.422596,544.0544,519.98499,424.467843,0.0,541.5
11307.067,44650.488845,23.336456,24.038306,39.773829,84.536927,268.514836,471.83222,534.422596,544.0544,519.98499,424.467843,0.0,541.5
11308.018,44650.488856,23.336456,24.038306,39.773829,84.536927,268.514836,471.83222,534.422596,544.0544,519.98499,424.467843,0.0,541.4
11309.071,44650.488869,23.336456,24.038306,39.773829,84.536927,268.514836,471.83222,534.422596,544.0544,519.98499,424.467843,0.0,541.4
11310.021,44650.48888,23.336456,24.038306,39.773829,84.536927,268.514836,471.83222,534.422596,544.0544,519.98499,424.467843,0.0,541.4
11311.077,44650.488892,23.342652,24.036579,39.778197,84.544437,268.503144,471.704362,534.251692,543.898201,519.814602,424.346552,0.0,541.3
11312.028,44650.488903,23.342652,24.036579,39.778197,84.544437,268.503144,471.704362,534.251692,543.898201,519.814602,424.346552,0.0,541.3
11313.084,44650.488915,23.342652,24.036579,39.778197,84.544437,268.503144,471.704362,534.251692,543.898201,519.814602,424.346552,0.0,541.2
11314.037,44650.488926,23.342652,24.036579,39.778197,84.544437,268.503144,471.704362,534.251692,543.898201,519.814602,424.346552,0.0,541.2
11315.092,44650.488938,23.342652,24.036579,39.778197,84.544437,268.503144,471.704362,534.251692,543.898201,519.814602,424.346552,0.0,541.2
11316.045,44650.488949,23.341386,24.039687,39.784019,84.550399,268.482204,471.583061,534.073344,543.751565,519.624106,424.218227,0.0,541.2
11317.103,44650.488962,23.341386,24.039687,39.784019,84.550399,268.482204,471.583061,534.073344,543.751565,519.624106,424.218227,0.0,541.1
11318.053,44650.488973,23.341386,24.039687,39.784019,84.550399,268.482204,471.583061,534.073344,543.751565,519.624106,424.218227,0.0,541.1
11319.013,44650.488984,23.341386,24.039687,39.784019,84.550399,268.482204,471.583061,534.073344,543.751565,519.624106,424.218227,0.0,541.1
11320.023,44650.488996,23.341386,24.039687,39.784019,84.550399,268.482204,471.583061,534.073344,543.751565,519.624106,424.218227,0.0,541.1
11321.026,44650.489007,23.341777,24.031804,39.786372,84.552944,268.470012,471.448778,533.897224,543.589706,519.429678,424.092703,0.0,541.0
11322.024,44650.489019,23.341777,24.031804,39.786372,84.552944,268.470012,471.448778,533.897224,543.589706,519.429678,424.092703,0.0,541.0
11323.093,44650.489031,23.341777,24.031804,39.786372,84.552944,268.470012,471.448778,533.897224,543.589706,519.429678,424.092703,0.0,540.9
11324.058,44650.489042,23.341777,24.031804,39.786372,84.552944,268.470012,471.448778,533.897224,543.589706,519.429678,424.092703,0.0,540.9
11325.01,44650.489053,23.341777,24.031804,39.786372,84.552944,268.470012,471.448778,533.897224,543.589706,519.429678,424.092703,0.0,540.9
11326.068,44650.489065,23.345975,24.04711,39.785451,84.558001,268.446175,471.323789,533.720087,543.431083,519.248455,423.964918,0.0,540.9
11327.019,44650.489076,23.345975,24.04711,39.785451,84.558001,268.446175,471.323789,533.720087,543.431083,519.248455,423.964918,0.0,540.8
11328.075,44650.489089,23.345975,24.04711,39.785451,84.558001,268.446175,471.323789,533.720087,543.431083,519.248455,423.964918,0.0,540.8
11329.026,44650.4891,23.345975,24.04711,39.785451,84.558001,268.446175,471.323789,533.720087,543.431083,519.248455,423.964918,0.0,540.8
11330.08,44650.489112,23.345975,24.04711,39.785451,84.558001,268.446175,471.323789,533.720087,543.431083,519.248455,423.964918,0.0,540.7
11331.032,44650.489123,23.350036,24.030011,39.798073,84.56412,268.431327,471.201632,533.549858,543.272095,519.061714,423.842165,0.0,540.7
11332.086,44650.489135,23.350036,24.030011,39.798073,84.56412,268.431327,471.201632,533.549858,543.272095,519.061714,423.842165,0.0,540.6
11333.036,44650.489146,23.350036,24.030011,39.798073,84.56412,268.431327,471.201632,533.549858,543.272095,519.061714,423.842165,0.0,540.6
11334.095,44650.489158,23.350036,24.030011,39.798073,84.56412,268.431327,471.201632,533.549858,543.272095,519.061714,423.842165,0.0,540.6
11335.048,44650.489169,23.350036,24.030011,39.798073,84.56412,268.431327,471.201632,533.549858,543.272095,519.061714,423.842165,0.0,540.6
11336.008,44650.48918,23.352319,24.038676,39.798624,84.580947,268.418848,471.076377,533.373238,543.110746,518.883917,423.721647,0.0,540.5
11337.065,44650.489193,23.352319,24.038676,39.798624,84.580947,268.418848,471.076377,533.373238,543.110746,518.883917,423.721647,0.0,540.5
11338.015,44650.489204,23.352319,24.038676,39.798624,84.580947,268.418848,471.076377,533.373238,543.110746,518.883917,423.721647,0.0,540.5
11339.07,44650.489216,23.352319,24.038676,39.798624,84.580947,268.418848,471.076377,533.373238,543.110746,518.883917,423.721647,0.0,540.5
11340.023,44650.489227,23.352319,24.038676,39.798624,84.580947,268.418848,471.076377,533.373238,543.110746,518.883917,423.721647,0.0,540.4
11341.081,44650.489239,23.344417,24.040825,39.796388,84.576108,268.400679,470.945637,533.199043,542.938735,518.70149,423.595805,0.0,540.3
11342.031,44650.48925,23.344417,24.040825,39.796388,84.576108,268.400679,470.945637,533.199043,542.938735,518.70149,423.595805,0.0,540.3
11343.086,44650.489262,23.344417,24.040825,39.796388,84.576108,268.400679,470.945637,533.199043,542.938735,518.70149,423.595805,0.0,540.3
11344.038,44650.489273,23.344417,24.040825,39.796388,84.576108,268.400679,470.945637,533.199043,542.938735,518.70149,423.595805,0.0,540.3
11345.092,44650.489286,23.344417,24.040825,39.796388,84.576108,268.400679,470.945637,533.199043,542.938735,518.70149,423.595805,0.0,540.2
11346.044,44650.489297,23.343812,24.044949,39.802496,84.591869,268.381186,470.830999,533.022599,542.802061,518.522188,423.4749,0.0,540.2
