Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
17341.076,44650.558684,24.530397,25.208932,40.015583,81.75133,246.661251,427.907856,483.328578,494.406146,467.762013,384.119993,491.2
17342.03,44650.558695,24.530397,25.208932,40.015583,81.75133,246.661251,427.907856,483.328578,494.406146,467.762013,384.119993,491.2
17343.084,44650.558707,24.530397,25.208932,40.015583,81.75133,246.661251,427.907856,483.328578,494.406146,467.762013,384.119993,491.2
17344.035,44650.558718,24.530397,25.208932,40.015583,81.75133,246.661251,427.907856,483.328578,494.406146,467.762013,384.119993,491.2
17345.093,44650.55873,24.530397,25.208932,40.015583,81.75133,246.661251,427.907856,483.328578,494.406146,467.762013,384.119993,491.1
17346.045,44650.558741,24.5262,25.199778,40.022821,81.744815,246.639663,427.782527,483.184283,494.247901,467.606061,384.009947,491.1
17347.104,44650.558753,24.5262,25.199778,40.022821,81.744815,246.639663,427.782527,483.184283,494.247901,467.606061,384.009947,491.0
17348.057,44650.558764,24.5262,25.199778,40.022821,81.744815,246.639663,427.782527,483.184283,494.247901,467.606061,384.009947,491.0
17349.01,44650.558775,24.5262,25.199778,40.022821,81.744815,246.639663,427.782527,483.184283,494.247901,467.606061,384.009947,491.0
17350.071,44650.558788,24.5262,25.199778,40.022821,81.744815,246.639663,427.782527,483.184283,494.247901,467.606061,384.009947,491.0
17351.024,44650.558799,24.53403,25.209493,40.022991,81.746586,246.617994,427.671956,483.037918,494.090937,467.454654,383.886373,491.0
17352.082,44650.558811,24.53403,25.209493,40.022991,81.746586,246.617994,427.671956,483.037918,494.090937,467.454654,383.886373,490.9
17353.035,44650.558822,24.53403,25.209493,40.022991,81.746586,246.617994,427.671956,483.037918,494.090937,467.454654,383.886373,490.9
17354.056,44650.558834,24.53403,25.209493,40.022991,81.746586,246.617994,427.671956,483.037918,494.090937,467.454654,383.886373,490.9
17355.008,44650.558845,24.53403,25.209493,40.022991,81.746586,246.617994,427.671956,483.037918,494.090937,467.454654,383.886373,490.9
17356.067,44650.558857,24.542844,25.208147,40.025584,81.743179,246.601821,427.560913,482.888204,493.940239,467.302365,383.756926,490.8
17357.02,44650.558868,24.542844,25.208147,40.025584,81.743179,246.601821,427.560913,482.888204,493.940239,467.302365,383.756926,490.8
17358.075,44650.55888,24.542844,25.208147,40.025584,81.743179,246.601821,427.560913,482.888204,493.940239,467.302365,383.756926,490.7
17359.032,44650.558892,24.542844,25.208147,40.025584,81.743179,246.601821,427.560913,482.888204,493.940239,467.302365,383.756926,490.7
17360.029,44650.558903,24.542844,25.208147,40.025584,81.743179,246.601821,427.560913,482.888204,493.940239,467.302365,383.756926,490.7
17361.061,44650.558915,24.532735,25.211032,40.024478,81.737276,246.572289,427.444048,482.731986,493.785058,467.150072,383.641625,490.7
17362.063,44650.558926,24.532735,25.211032,40.024478,81.737276,246.572289,427.444048,482.731986,493.785058,467.150072,383.641625,490.7
17363.044,44650.558938,24.532735,25.211032,40.024478,81.737276,246.572289,427.444048,482.731986,493.785058,467.150072,383.641625,490.6
17364.014,44650.558949,24.532735,25.211032,40.024478,81.737276,246.572289,427.444048,482.731986,493.785058,467.150072,383.641625,490.6
17365.069,44650.558961,24.532735,25.211032,40.024478,81.737276,246.572289,427.444048,482.731986,493.785058,467.150072,383.641625,490.6
17366.026,44650.558972,24.529008,25.209787,40.008415,81.74164,246.540593,427.321737,482.574201,493.642168,466.994532,383.518853,490.5
17367.086,44650.558985,24.529008,25.209787,40.008415,81.74164,246.540593,427.321737,482.574201,493.642168,466.994532,383.518853,490.5
