Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
8839.099,44650.460281,22.931934,23.548548,37.321145,76.961713,244.562655,573.623565,582.443908,583.051407,582.770271,470.46474,877.5,599.0
8840.052,44650.460292,22.931934,23.548548,37.321145,76.961713,244.562655,573.623565,582.443908,583.051407,582.770271,470.46474,877.5,599.0
8841.004,44650.460303,22.936735,23.554529,37.332312,76.987106,244.656398,573.934961,582.532807,583.144003,582.858835,470.578535,877.5,599.0
8842.055,44650.460315,22.936735,23.554529,37.332312,76.987106,244.656398,573.934961,582.532807,583.144003,582.858835,470.578535,850.5,599.1
8843.002,44650.460326,22.936735,23.554529,37.332312,76.987106,244.656398,573.934961,582.532807,583.144003,582.858835,470.578535,850.5,599.1
8844.057,44650.460338,22.936735,23.554529,37.332312,76.987106,244.656398,573.934961,582.532807,583.144003,582.858835,470.578535,850.5,599.1
8845.004,44650.460349,22.936735,23.554529,37.332312,76.987106,244.656398,573.934961,582.532807,583.144003,582.858835,470.578535,850.5,599.1
8846.057,44650.460362,22.93906,23.547866,37.332234,76.999976,244.751862,574.18332,582.615801,583.225658,582.936009,470.682605,823.5,599.1
8847.006,44650.460373,22.93906,23.547866,37.332234,76.999976,244.751862,574.18332,582.615801,583.225658,582.936009,470.682605,823.5,599.1
8848.057,44650.460385,22.93906,23.547866,37.332234,76.999976,244.751862,574.18332,582.615801,583.225658,582.936009,470.682605,823.5,599.2
8849.005,44650.460396,22.93906,23.547866,37.332234,76.999976,244.751862,574.18332,582.615801,583.225658,582.936009,470.682605,823.5,599.2
8850.059,44650.460408,22.93906,23.547866,37.332234,76.999976,244.751862,574.18332,582.615801,583.225658,582.936009,470.682605,823.5,599.2
8851.01,44650.460419,22.940661,23.557625,37.344359,77.025737,244.852554,574.404772,582.699098,583.317579,583.015165,470.789667,823.5,599.2
