Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
17401.033,44650.559378,24.53971,25.21694,40.022228,81.727268,246.389767,426.527578,481.542259,492.592233,465.932325,382.680462,489.5
17402.09,44650.55939,24.53971,25.21694,40.022228,81.727268,246.389767,426.527578,481.542259,492.592233,465.932325,382.680462,489.4
17403.039,44650.559401,24.53971,25.21694,40.022228,81.727268,246.389767,426.527578,481.542259,492.592233,465.932325,382.680462,489.4
17404.061,44650.559413,24.53971,25.21694,40.022228,81.727268,246.389767,426.527578,481.542259,492.592233,465.932325,382.680462,489.4
17405.014,44650.559424,24.53971,25.21694,40.022228,81.727268,246.389767,426.527578,481.542259,492.592233,465.932325,382.680462,489.4
17406.072,44650.559436,24.539822,25.221303,40.02406,81.72162,246.370241,426.417243,481.391839,492.456769,465.781816,382.566946,489.4
17407.023,44650.559447,24.539822,25.221303,40.02406,81.72162,246.370241,426.417243,481.391839,492.456769,465.781816,382.566946,489.3
17408.088,44650.559459,24.539822,25.221303,40.02406,81.72162,246.370241,426.417243,481.391839,492.456769,465.781816,382.566946,489.3
17409.046,44650.55947,24.539822,25.221303,40.02406,81.72162,246.370241,426.417243,481.391839,492.456769,465.781816,382.566946,489.3
17410.003,44650.559481,24.539822,25.221303,40.02406,81.72162,246.370241,426.417243,481.391839,492.456769,465.781816,382.566946,489.2
17411.065,44650.559494,24.538474,25.21417,40.020436,81.717022,246.342277,426.3058,481.237943,492.317608,465.624802,382.443348,489.2
17412.018,44650.559505,24.538474,25.21417,40.020436,81.717022,246.342277,426.3058,481.237943,492.317608,465.624802,382.443348,489.2
17413.076,44650.559517,24.538474,25.21417,40.020436,81.717022,246.342277,426.3058,481.237943,492.317608,465.624802,382.443348,489.1
17414.031,44650.559528,24.538474,25.21417,40.020436,81.717022,246.342277,426.3058,481.237943,492.317608,465.624802,382.443348,489.1
17415.088,44650.55954,24.538474,25.21417,40.020436,81.717022,246.342277,426.3058,481.237943,492.317608,465.624802,382.443348,489.0
17416.066,44650.559552,24.527543,25.217414,40.010142,81.721448,246.305004,426.196011,481.085597,492.166794,465.466875,382.329358,489.0
17417.02,44650.559563,24.527543,25.217414,40.010142,81.721448,246.305004,426.196011,481.085597,492.166794,465.466875,382.329358,489.0
17418.076,44650.559575,24.527543,25.217414,40.010142,81.721448,246.305004,426.196011,481.085597,492.166794,465.466875,382.329358,489.0
17419.096,44650.559587,24.527543,25.217414,40.010142,81.721448,246.305004,426.196011,481.085597,492.166794,465.466875,382.329358,488.9
17420.091,44650.559598,24.527543,25.217414,40.010142,81.721448,246.305004,426.196011,481.085597,492.166794,465.466875,382.329358,488.9
17421.046,44650.559609,24.53943,25.215361,40.02044,81.719089,246.293662,426.081701,480.944724,492.025749,465.32581,382.218923,488.9
17422.104,44650.559621,24.53943,25.215361,40.02044,81.719089,246.293662,426.081701,480.944724,492.025749,465.32581,382.218923,488.9
17423.047,44650.559632,24.53943,25.215361,40.02044,81.719089,246.293662,426.081701,480.944724,492.025749,465.32581,382.218923,488.9
17424.104,44650.559645,24.53943,25.215361,40.02044,81.719089,246.293662,426.081701,480.944724,492.025749,465.32581,382.218923,488.8
17425.086,44650.559656,24.53943,25.215361,40.02044,81.719089,246.293662,426.081701,480.944724,492.025749,465.32581,382.218923,488.8
17426.01,44650.559667,24.544363,25.212971,40.021201,81.714451,246.271412,425.966953,480.79373,491.862184,465.174846,382.098032,488.8
17427.098,44650.559679,24.544363,25.212971,40.021201,81.714451,246.271412,425.966953,480.79373,491.862184,465.174846,382.098032,488.7
17428.067,44650.559691,24.544363,25.212971,40.021201,81.714451,246.271412,425.966953,480.79373,491.862184,465.174846,382.098032,488.7
17429.057,44650.559702,24.544363,25.212971,40.021201,81.714451,246.271412,425.966953,480.79373,491.862184,465.174846,382.098032,488.6
17430.002,44650.559713,24.544363,25.212971,40.021201,81.714451,246.271412,425.966953,480.79373,491.862184,465.174846,382.098032,488.6
17431.062,44650.559725,24.540588,25.22077,40.015114,81.717516,246.243899,425.857285,480.652427,491.706831,465.025169,381.989766,488.6
17432.283,44650.559739,24.540588,25.22077,40.015114,81.717516,246.243899,425.857285,480.652427,491.706831,465.025169,381.989766,488.6
17433.033,44650.559748,24.540588,25.22077,40.015114,81.717516,246.243899,425.857285,480.652427,491.706831,465.025169,381.989766,488.6
