Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
21849.102,44650.61086,25.831413,26.565736,42.811385,90.594648,291.432402,500.939405,543.871784,543.440344,531.353565,433.743192,544.4
21850.061,44650.610871,25.831413,26.565736,42.811385,90.594648,291.432402,500.939405,543.871784,543.440344,531.353565,433.743192,544.4
21851.019,44650.610882,25.846276,26.565494,42.821626,90.60305,291.415699,500.742453,543.750093,543.327824,531.148111,433.609188,544.4
21852.077,44650.610894,25.846276,26.565494,42.821626,90.60305,291.415699,500.742453,543.750093,543.327824,531.148111,433.609188,544.4
21853.031,44650.610905,25.846276,26.565494,42.821626,90.60305,291.415699,500.742453,543.750093,543.327824,531.148111,433.609188,544.4
21854.091,44650.610918,25.846276,26.565494,42.821626,90.60305,291.415699,500.742453,543.750093,543.327824,531.148111,433.609188,544.3
21855.049,44650.610929,25.846276,26.565494,42.821626,90.60305,291.415699,500.742453,543.750093,543.327824,531.148111,433.609188,544.3
21856.006,44650.61094,25.839421,26.561356,42.82496,90.606691,291.370694,500.540843,543.62762,543.218886,530.946573,433.469231,544.2
21857.065,44650.610952,25.839421,26.561356,42.82496,90.606691,291.370694,500.540843,543.62762,543.218886,530.946573,433.469231,544.2
21858.02,44650.610963,25.839421,26.561356,42.82496,90.606691,291.370694,500.540843,543.62762,543.218886,530.946573,433.469231,544.2
21859.082,44650.610975,25.839421,26.561356,42.82496,90.606691,291.370694,500.540843,543.62762,543.218886,530.946573,433.469231,544.1
21860.037,44650.610986,25.839421,26.561356,42.82496,90.606691,291.370694,500.540843,543.62762,543.218886,530.946573,433.469231,544.1
21861.1,44650.610999,25.833071,26.553831,42.817107,90.606738,291.337878,500.339084,543.49105,543.105133,530.739547,433.326009,544.1
21862.058,44650.61101,25.833071,26.553831,42.817107,90.606738,291.337878,500.339084,543.49105,543.105133,530.739547,433.326009,544.1
21863.014,44650.611021,25.833071,26.553831,42.817107,90.606738,291.337878,500.339084,543.49105,543.105133,530.739547,433.326009,544.1
21864.073,44650.611033,25.833071,26.553831,42.817107,90.606738,291.337878,500.339084,543.49105,543.105133,530.739547,433.326009,544.0
21865.03,44650.611044,25.833071,26.553831,42.817107,90.606738,291.337878,500.339084,543.49105,543.105133,530.739547,433.326009,544.0
21866.088,44650.611056,25.840767,26.566946,42.822425,90.61728,291.31479,500.15038,543.369399,543.012118,530.535246,433.196647,543.9
21867.046,44650.611067,25.840767,26.566946,42.822425,90.61728,291.31479,500.15038,543.369399,543.012118,530.535246,433.196647,543.9
21868.003,44650.611079,25.840767,26.566946,42.822425,90.61728,291.31479,500.15038,543.369399,543.012118,530.535246,433.196647,543.9
21869.064,44650.611091,25.840767,26.566946,42.822425,90.61728,291.31479,500.15038,543.369399,543.012118,530.535246,433.196647,543.8
21870.018,44650.611102,25.840767,26.566946,42.822425,90.61728,291.31479,500.15038,543.369399,543.012118,530.535246,433.196647,543.8
21871.082,44650.611114,25.848105,26.577345,42.832988,90.633697,291.28134,499.97398,543.24026,542.913628,530.337778,433.064031,543.8
21872.037,44650.611125,25.848105,26.577345,42.832988,90.633697,291.28134,499.97398,543.24026,542.913628,530.337778,433.064031,543.8
21873.093,44650.611137,25.848105,26.577345,42.832988,90.633697,291.28134,499.97398,543.24026,542.913628,530.337778,433.064031,543.7
21874.05,44650.611149,25.848105,26.577345,42.832988,90.633697,291.28134,499.97398,543.24026,542.913628,530.337778,433.064031,543.7
