Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
16921.057,44650.553822,24.472617,25.142687,39.992214,81.806386,248.445752,434.223936,491.779779,502.741894,476.2047,389.899006,498.9
16922.009,44650.553833,24.472617,25.142687,39.992214,81.806386,248.445752,434.223936,491.779779,502.741894,476.2047,389.899006,498.9
16923.066,44650.553845,24.472617,25.142687,39.992214,81.806386,248.445752,434.223936,491.779779,502.741894,476.2047,389.899006,498.9
16924.016,44650.553856,24.472617,25.142687,39.992214,81.806386,248.445752,434.223936,491.779779,502.741894,476.2047,389.899006,498.9
16925.074,44650.553869,24.472617,25.142687,39.992214,81.806386,248.445752,434.223936,491.779779,502.741894,476.2047,389.899006,498.9
16926.03,44650.55388,24.474589,25.145484,39.992389,81.807132,248.429619,434.264093,491.80872,502.775752,476.234264,389.955873,498.9
16927.087,44650.553892,24.474589,25.145484,39.992389,81.807132,248.429619,434.264093,491.80872,502.775752,476.234264,389.955873,498.9
16928.043,44650.553903,24.474589,25.145484,39.992389,81.807132,248.429619,434.264093,491.80872,502.775752,476.234264,389.955873,498.9
16929.101,44650.553915,24.474589,25.145484,39.992389,81.807132,248.429619,434.264093,491.80872,502.775752,476.234264,389.955873,498.9
16930.057,44650.553926,24.474589,25.145484,39.992389,81.807132,248.429619,434.264093,491.80872,502.775752,476.234264,389.955873,498.9
16931.014,44650.553937,24.467539,25.145877,39.986314,81.812157,248.391115,434.299458,491.830602,502.809934,476.265273,390.006845,498.9
16932.071,44650.55395,24.467539,25.145877,39.986314,81.812157,248.391115,434.299458,491.830602,502.809934,476.265273,390.006845,498.9
16933.026,44650.553961,24.467539,25.145877,39.986314,81.812157,248.391115,434.299458,491.830602,502.809934,476.265273,390.006845,498.9
16934.087,44650.553973,24.467539,25.145877,39.986314,81.812157,248.391115,434.299458,491.830602,502.809934,476.265273,390.006845,498.9
16935.041,44650.553984,24.467539,25.145877,39.986314,81.812157,248.391115,434.299458,491.830602,502.809934,476.265273,390.006845,498.9
