Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
1631.009,44650.376854,21.781586,21.743685,23.49157,30.782158,66.845182,223.0508,310.591142,319.341835,313.689924,230.286608,1890.0,322.3
1632.061,44650.376866,21.781586,21.743685,23.49157,30.782158,66.845182,223.0508,310.591142,319.341835,313.689924,230.286608,1863.0,322.4
1633.005,44650.376877,21.781586,21.743685,23.49157,30.782158,66.845182,223.0508,310.591142,319.341835,313.689924,230.286608,1863.0,322.5
1634.053,44650.376889,21.781586,21.743685,23.49157,30.782158,66.845182,223.0508,310.591142,319.341835,313.689924,230.286608,1863.0,322.7
1635.005,44650.3769,21.781586,21.743685,23.49157,30.782158,66.845182,223.0508,310.591142,319.341835,313.689924,230.286608,1863.0,322.8
1636.061,44650.376913,21.78613,21.750599,23.497742,30.814715,67.003443,223.588087,311.422823,320.177496,314.489921,230.838455,1890.0,322.9
1637.006,44650.376923,21.78613,21.750599,23.497742,30.814715,67.003443,223.588087,311.422823,320.177496,314.489921,230.838455,1890.0,323.0
1638.057,44650.376936,21.78613,21.750599,23.497742,30.814715,67.003443,223.588087,311.422823,320.177496,314.489921,230.838455,1890.0,323.2
1639.002,44650.376947,21.78613,21.750599,23.497742,30.814715,67.003443,223.588087,311.422823,320.177496,314.489921,230.838455,1890.0,323.3
1640.052,44650.376959,21.78613,21.750599,23.497742,30.814715,67.003443,223.588087,311.422823,320.177496,314.489921,230.838455,1890.0,323.5
1641.004,44650.37697,21.788885,21.756315,23.51465,30.854411,67.165802,224.123236,312.262588,321.022277,315.311072,231.407684,1890.0,323.6
1642.054,44650.376982,21.788885,21.756315,23.51465,30.854411,67.165802,224.123236,312.262588,321.022277,315.311072,231.407684,1890.0,323.8
1643.104,44650.376994,21.788885,21.756315,23.51465,30.854411,67.165802,224.123236,312.262588,321.022277,315.311072,231.407684,1890.0,324.0
1644.051,44650.377005,21.788885,21.756315,23.51465,30.854411,67.165802,224.123236,312.262588,321.022277,315.311072,231.407684,1890.0,324.0
1645.103,44650.377017,21.788885,21.756315,23.51465,30.854411,67.165802,224.123236,312.262588,321.022277,315.311072,231.407684,1890.0,324.3
1646.048,44650.377028,21.799545,21.751222,23.520944,30.895072,67.331392,224.656776,313.106381,321.849831,316.117715,231.959272,1890.0,324.3
1647.094,44650.37704,21.799545,21.751222,23.520944,30.895072,67.331392,224.656776,313.106381,321.849831,316.117715,231.959272,1890.0,324.6
1648.04,44650.377051,21.799545,21.751222,23.520944,30.895072,67.331392,224.656776,313.106381,321.849831,316.117715,231.959272,2146.5,324.6
1649.093,44650.377063,21.799545,21.751222,23.520944,30.895072,67.331392,224.656776,313.106381,321.849831,316.117715,231.959272,2146.5,324.9
1650.039,44650.377074,21.799545,21.751222,23.520944,30.895072,67.331392,224.656776,313.106381,321.849831,316.117715,231.959272,2146.5,324.9
1651.095,44650.377087,21.792434,21.757377,23.529432,30.938029,67.486035,225.194903,313.93172,322.690552,316.916703,232.523669,2146.5,325.1
1652.043,44650.377098,21.792434,21.757377,23.529432,30.938029,67.486035,225.194903,313.93172,322.690552,316.916703,232.523669,1890.0,325.1
1653.094,44650.37711,21.792434,21.757377,23.529432,30.938029,67.486035,225.194903,313.93172,322.690552,316.916703,232.523669,1890.0,325.4
1654.039,44650.377121,21.792434,21.757377,23.529432,30.938029,67.486035,225.194903,313.93172,322.690552,316.916703,232.523669,1890.0,325.4
1655.088,44650.377133,21.792434,21.757377,23.529432,30.938029,67.486035,225.194903,313.93172,322.690552,316.916703,232.523669,1890.0,325.7
1656.036,44650.377144,21.796435,21.750244,23.540365,30.968029,67.650724,225.72105,314.774188,323.517866,317.730421,233.066102,1917.0,325.7
1657.088,44650.377156,21.796435,21.750244,23.540365,30.968029,67.650724,225.72105,314.774188,323.517866,317.730421,233.066102,1917.0,326.0
1658.034,44650.377167,21.796435,21.750244,23.540365,30.968029,67.650724,225.72105,314.774188,323.517866,317.730421,233.066102,1917.0,326.0
1659.087,44650.377179,21.796435,21.750244,23.540365,30.968029,67.650724,225.72105,314.774188,323.517866,317.730421,233.066102,1917.0,326.2
1660.034,44650.37719,21.796435,21.750244,23.540365,30.968029,67.650724,225.72105,314.774188,323.517866,317.730421,233.066102,1917.0,326.2
1661.086,44650.377202,21.803028,21.76122,23.543837,31.013399,67.802442,226.258807,315.602279,324.358172,318.542034,233.624113,1917.0,326.5
1662.032,44650.377213,21.803028,21.76122,23.543837,31.013399,67.802442,226.258807,315.602279,324.358172,318.542034,233.624113,1917.0,326.5
1663.081,44650.377225,21.803028,21.76122,23.543837,31.013399,67.802442,226.258807,315.602279,324.358172,318.542034,233.624113,1917.0,326.8
1664.028,44650.377236,21.803028,21.76122,23.543837,31.013399,67.802442,226.258807,315.602279,324.358172,318.542034,233.624113,1917.0,326.8
1665.079,44650.377248,21.803028,21.76122,23.543837,31.013399,67.802442,226.258807,315.602279,324.358172,318.542034,233.624113,1917.0,327.0
1666.027,44650.377259,21.792895,21.755706,23.550825,31.04723,67.958252,226.805189,316.434464,325.191613,319.340592,234.179901,1917.0,327.0
1667.082,44650.377272,21.792895,21.755706,23.550825,31.04723,67.958252,226.805189,316.434464,325.191613,319.340592,234.179901,1917.0,327.4
1668.027,44650.377283,21.792895,21.755706,23.550825,31.04723,67.958252,226.805189,316.434464,325.191613,319.340592,234.179901,1917.0,327.4
1669.078,44650.377295,21.792895,21.755706,23.550825,31.04723,67.958252,226.805189,316.434464,325.191613,319.340592,234.179901,1917.0,327.6
1670.024,44650.377306,21.792895,21.755706,23.550825,31.04723,67.958252,226.805189,316.434464,325.191613,319.340592,234.179901,1917.0,327.6
1671.109,44650.377318,21.796905,21.752846,23.578726,31.091257,68.136051,227.334643,317.279831,326.020869,320.160579,234.735991,1917.0,327.9
1672.091,44650.37733,21.796905,21.752846,23.578726,31.091257,68.136051,227.334643,317.279831,326.020869,320.160579,234.735991,2146.5,328.0
