Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
5899.067,44650.426253,21.979023,22.44395,33.072985,64.901917,196.798901,409.281135,522.9493,531.007787,518.722039,399.663558,850.5,533.8
5900.017,44650.426264,21.979023,22.44395,33.072985,64.901917,196.798901,409.281135,522.9493,531.007787,518.722039,399.663558,850.5,533.8
5901.07,44650.426276,21.986215,22.455637,33.067417,64.923771,196.875514,409.420768,523.206606,531.093181,518.851972,399.790156,607.5,533.8
5902.024,44650.426287,21.986215,22.455637,33.067417,64.923771,196.875514,409.420768,523.206606,531.093181,518.851972,399.790156,607.5,533.8
5903.075,44650.426299,21.986215,22.455637,33.067417,64.923771,196.875514,409.420768,523.206606,531.093181,518.851972,399.790156,607.5,533.9
5904.026,44650.42631,21.986215,22.455637,33.067417,64.923771,196.875514,409.420768,523.206606,531.093181,518.851972,399.790156,607.5,533.9
5905.078,44650.426322,21.986215,22.455637,33.067417,64.923771,196.875514,409.420768,523.206606,531.093181,518.851972,399.790156,850.5,533.9
5906.027,44650.426333,21.987556,22.45248,33.077752,64.944098,196.963062,409.560025,523.470893,531.166645,518.992252,399.910135,850.5,533.9
5907.077,44650.426346,21.987556,22.45248,33.077752,64.944098,196.963062,409.560025,523.470893,531.166645,518.992252,399.910135,850.5,534.0
5908.028,44650.426357,21.987556,22.45248,33.077752,64.944098,196.963062,409.560025,523.470893,531.166645,518.992252,399.910135,850.5,534.0
5909.079,44650.426369,21.987556,22.45248,33.077752,64.944098,196.963062,409.560025,523.470893,531.166645,518.992252,399.910135,850.5,534.0
5910.027,44650.42638,21.987556,22.45248,33.077752,64.944098,196.963062,409.560025,523.470893,531.166645,518.992252,399.910135,850.5,534.0
5911.079,44650.426392,21.983395,22.457909,33.100059,64.974193,197.058495,409.696026,523.733321,531.244409,519.120818,400.028918,850.5,534.1
5912.037,44650.426403,21.983395,22.457909,33.100059,64.974193,197.058495,409.696026,523.733321,531.244409,519.120818,400.028918,850.5,534.1
5913.086,44650.426415,21.983395,22.457909,33.100059,64.974193,197.058495,409.696026,523.733321,531.244409,519.120818,400.028918,850.5,534.1
5914.034,44650.426426,21.983395,22.457909,33.100059,64.974193,197.058495,409.696026,523.733321,531.244409,519.120818,400.028918,850.5,534.1
5915.086,44650.426438,21.983395,22.457909,33.100059,64.974193,197.058495,409.696026,523.733321,531.244409,519.120818,400.028918,850.5,534.1
5916.036,44650.426449,21.985196,22.441124,33.098939,64.986979,197.144044,409.825048,523.973063,531.313605,519.269144,400.143004,850.5,534.1
5917.088,44650.426461,21.985196,22.441124,33.098939,64.986979,197.144044,409.825048,523.973063,531.313605,519.269144,400.143004,850.5,534.2
5918.038,44650.426472,21.985196,22.441124,33.098939,64.986979,197.144044,409.825048,523.973063,531.313605,519.269144,400.143004,850.5,534.2
5919.089,44650.426485,21.985196,22.441124,33.098939,64.986979,197.144044,409.825048,523.973063,531.313605,519.269144,400.143004,850.5,534.2
5920.044,44650.426496,21.985196,22.441124,33.098939,64.986979,197.144044,409.825048,523.973063,531.313605,519.269144,400.143004,850.5,534.2
5921.098,44650.426508,21.984241,22.45106,33.115048,65.026839,197.227328,409.964552,524.222724,531.409392,519.400626,400.257385,850.5,534.3
5922.048,44650.426519,21.984241,22.45106,33.115048,65.026839,197.227328,409.964552,524.222724,531.409392,519.400626,400.257385,850.5,534.3
5923.101,44650.426531,21.984241,22.45106,33.115048,65.026839,197.227328,409.964552,524.222724,531.409392,519.400626,400.257385,850.5,534.3
5924.052,44650.426542,21.984241,22.45106,33.115048,65.026839,197.227328,409.964552,524.222724,531.409392,519.400626,400.257385,850.5,534.3
5925.103,44650.426554,21.984241,22.45106,33.115048,65.026839,197.227328,409.964552,524.222724,531.409392,519.400626,400.257385,850.5,534.4
5926.054,44650.426565,21.997004,22.453875,33.123712,65.044726,197.312216,410.098468,524.465842,531.495733,519.525901,400.377363,850.5,534.4
5927.002,44650.426576,21.997004,22.453875,33.123712,65.044726,197.312216,410.098468,524.465842,531.495733,519.525901,400.377363,850.5,534.4
5928.056,44650.426588,21.997004,22.453875,33.123712,65.044726,197.312216,410.098468,524.465842,531.495733,519.525901,400.377363,850.5,534.4
5929.006,44650.426599,21.997004,22.453875,33.123712,65.044726,197.312216,410.098468,524.465842,531.495733,519.525901,400.377363,850.5,534.4
5930.055,44650.426612,21.997004,22.453875,33.123712,65.044726,197.312216,410.098468,524.465842,531.495733,519.525901,400.377363,850.5,534.4
5931.006,44650.426623,21.9932,22.45173,33.132979,65.069514,197.392949,410.236908,524.718684,531.585308,519.652731,400.496537,850.5,534.5
5932.056,44650.426635,21.9932,22.45173,33.132979,65.069514,197.392949,410.236908,524.718684,531.585308,519.652731,400.496537,850.5,534.5
5933.004,44650.426646,21.9932,22.45173,33.132979,65.069514,197.392949,410.236908,524.718684,531.585308,519.652731,400.496537,850.5,534.5
5934.054,44650.426658,21.9932,22.45173,33.132979,65.069514,197.392949,410.236908,524.718684,531.585308,519.652731,400.496537,850.5,534.5
5935.005,44650.426669,21.9932,22.45173,33.132979,65.069514,197.392949,410.236908,524.718684,531.585308,519.652731,400.496537,850.5,534.6
5936.058,44650.426681,21.98927,22.456679,33.134095,65.096074,197.483273,410.367843,524.974431,531.670852,519.793782,400.618304,850.5,534.6
5937.007,44650.426692,21.98927,22.456679,33.134095,65.096074,197.483273,410.367843,524.974431,531.670852,519.793782,400.618304,850.5,534.6
5938.004,44650.426704,21.98927,22.456679,33.134095,65.096074,197.483273,410.367843,524.974431,531.670852,519.793782,400.618304,850.5,534.6
5939.075,44650.426716,21.98927,22.456679,33.134095,65.096074,197.483273,410.367843,524.974431,531.670852,519.793782,400.618304,850.5,534.7
