Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
11539.011,44650.49153,23.377209,24.07797,39.901407,84.761045,267.591529,466.125056,526.462062,536.801251,511.611774,418.762626,0.0,534.0
11540.066,44650.491542,23.377209,24.07797,39.901407,84.761045,267.591529,466.125056,526.462062,536.801251,511.611774,418.762626,0.0,534.0
11541.019,44650.491553,23.368175,24.076624,39.898498,84.772287,267.56081,466.015071,526.286832,536.637414,511.422758,418.649674,0.0,534.0
11542.073,44650.491565,23.368175,24.076624,39.898498,84.772287,267.56081,466.015071,526.286832,536.637414,511.422758,418.649674,0.0,533.9
11543.024,44650.491576,23.368175,24.076624,39.898498,84.772287,267.56081,466.015071,526.286832,536.637414,511.422758,418.649674,0.0,533.9
11544.079,44650.491589,23.368175,24.076624,39.898498,84.772287,267.56081,466.015071,526.286832,536.637414,511.422758,418.649674,0.0,533.8
11545.033,44650.4916,23.368175,24.076624,39.898498,84.772287,267.56081,466.015071,526.286832,536.637414,511.422758,418.649674,0.0,533.8
11546.088,44650.491612,23.378045,24.081288,39.903398,84.765758,267.543479,465.885358,526.114666,536.472613,511.243982,418.521454,0.0,533.8
11547.044,44650.491623,23.378045,24.081288,39.903398,84.765758,267.543479,465.885358,526.114666,536.472613,511.243982,418.521454,0.0,533.8
11548.098,44650.491635,23.378045,24.081288,39.903398,84.765758,267.543479,465.885358,526.114666,536.472613,511.243982,418.521454,0.0,533.7
11549.053,44650.491646,23.378045,24.081288,39.903398,84.765758,267.543479,465.885358,526.114666,536.472613,511.243982,418.521454,0.0,533.7
11550.003,44650.491657,23.378045,24.081288,39.903398,84.765758,267.543479,465.885358,526.114666,536.472613,511.243982,418.521454,0.0,533.7
11551.059,44650.491669,23.377441,24.08612,39.913666,84.778391,267.526972,465.756328,525.949362,536.311985,511.067478,418.399908,0.0,533.6
11552.011,44650.49168,23.377441,24.08612,39.913666,84.778391,267.526972,465.756328,525.949362,536.311985,511.067478,418.399908,0.0,533.6
11553.065,44650.491693,23.377441,24.08612,39.913666,84.778391,267.526972,465.756328,525.949362,536.311985,511.067478,418.399908,0.0,533.6
11554.017,44650.491704,23.377441,24.08612,39.913666,84.778391,267.526972,465.756328,525.949362,536.311985,511.067478,418.399908,0.0,533.5
11555.071,44650.491716,23.377441,24.08612,39.913666,84.778391,267.526972,465.756328,525.949362,536.311985,511.067478,418.399908,0.0,533.5
11556.025,44650.491727,23.383517,24.089947,39.914891,84.787052,267.507831,465.643932,525.782215,536.157013,510.893836,418.282926,0.0,533.5
11557.081,44650.491739,23.383517,24.089947,39.914891,84.787052,267.507831,465.643932,525.782215,536.157013,510.893836,418.282926,0.0,533.4
11558.033,44650.49175,23.383517,24.089947,39.914891,84.787052,267.507831,465.643932,525.782215,536.157013,510.893836,418.282926,0.0,533.4
11559.087,44650.491762,23.383517,24.089947,39.914891,84.787052,267.507831,465.643932,525.782215,536.157013,510.893836,418.282926,0.0,533.3
11560.04,44650.491773,23.383517,24.089947,39.914891,84.787052,267.507831,465.643932,525.782215,536.157013,510.893836,418.282926,0.0,533.3
11561.1,44650.491786,23.38122,24.087178,39.903848,84.788908,267.474802,465.517371,525.609774,536.010289,510.71321,418.160618,0.0,533.3
11562.052,44650.491797,23.38122,24.087178,39.903848,84.788908,267.474802,465.517371,525.609774,536.010289,510.71321,418.160618,0.0,533.3
11563.004,44650.491808,23.38122,24.087178,39.903848,84.788908,267.474802,465.517371,525.609774,536.010289,510.71321,418.160618,0.0,533.2
11564.06,44650.49182,23.38122,24.087178,39.903848,84.788908,267.474802,465.517371,525.609774,536.010289,510.71321,418.160618,0.0,533.2
11565.009,44650.491831,23.38122,24.087178,39.903848,84.788908,267.474802,465.517371,525.609774,536.010289,510.71321,418.160618,0.0,533.2
11566.066,44650.491843,23.379195,24.079363,39.914072,84.785098,267.448475,465.393567,525.432096,535.855311,510.535522,418.032144,0.0,533.1
11567.015,44650.491854,23.379195,24.079363,39.914072,84.785098,267.448475,465.393567,525.432096,535.855311,510.535522,418.032144,0.0,533.1
11568.069,44650.491866,23.379195,24.079363,39.914072,84.785098,267.448475,465.393567,525.432096,535.855311,510.535522,418.032144,0.0,533.1
11569.021,44650.491877,23.379195,24.079363,39.914072,84.785098,267.448475,465.393567,525.432096,535.855311,510.535522,418.032144,0.0,533.0
11570.078,44650.49189,23.379195,24.079363,39.914072,84.785098,267.448475,465.393567,525.432096,535.855311,510.535522,418.032144,0.0,533.0
11571.03,44650.491901,23.37757,24.080458,39.916336,84.79352,267.42269,465.271406,525.267846,535.697531,510.344935,417.914922,0.0,533.0
11572.085,44650.491913,23.37757,24.080458,39.916336,84.79352,267.42269,465.271406,525.267846,535.697531,510.344935,417.914922,0.0,533.0
11573.035,44650.491924,23.37757,24.080458,39.916336,84.79352,267.42269,465.271406,525.267846,535.697531,510.344935,417.914922,0.0,533.0
11574.09,44650.491936,23.37757,24.080458,39.916336,84.79352,267.42269,465.271406,525.267846,535.697531,510.344935,417.914922,0.0,532.9
11575.045,44650.491947,23.37757,24.080458,39.916336,84.79352,267.42269,465.271406,525.267846,535.697531,510.344935,417.914922,0.0,532.9
