Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
13441.021,44650.513544,23.702581,24.419323,40.106104,83.647105,253.081204,441.365242,492.716522,503.680904,476.544147,395.434263,499.8
13442.077,44650.513556,23.702581,24.419323,40.106104,83.647105,253.081204,441.365242,492.716522,503.680904,476.544147,395.434263,499.8
13443.029,44650.513567,23.702581,24.419323,40.106104,83.647105,253.081204,441.365242,492.716522,503.680904,476.544147,395.434263,499.8
13444.083,44650.513579,23.702581,24.419323,40.106104,83.647105,253.081204,441.365242,492.716522,503.680904,476.544147,395.434263,499.8
13445.037,44650.513591,23.702581,24.419323,40.106104,83.647105,253.081204,441.365242,492.716522,503.680904,476.544147,395.434263,499.8
13446.096,44650.513603,23.704324,24.401332,40.10852,83.639624,253.04909,441.349276,492.724269,503.678917,476.555724,395.441754,499.8
13447.05,44650.513614,23.704324,24.401332,40.10852,83.639624,253.04909,441.349276,492.724269,503.678917,476.555724,395.441754,499.8
13448.104,44650.513626,23.704324,24.401332,40.10852,83.639624,253.04909,441.349276,492.724269,503.678917,476.555724,395.441754,499.8
13449.057,44650.513637,23.704324,24.401332,40.10852,83.639624,253.04909,441.349276,492.724269,503.678917,476.555724,395.441754,499.8
13450.007,44650.513648,23.704324,24.401332,40.10852,83.639624,253.04909,441.349276,492.724269,503.678917,476.555724,395.441754,499.8
13451.067,44650.51366,23.709699,24.403749,40.113545,83.629321,253.02194,441.340313,492.738273,503.668959,476.566624,395.446867,499.8
13452.019,44650.513671,23.709699,24.403749,40.113545,83.629321,253.02194,441.340313,492.738273,503.668959,476.566624,395.446867,499.8
13453.072,44650.513684,23.709699,24.403749,40.113545,83.629321,253.02194,441.340313,492.738273,503.668959,476.566624,395.446867,499.8
13454.022,44650.513695,23.709699,24.403749,40.113545,83.629321,253.02194,441.340313,492.738273,503.668959,476.566624,395.446867,499.8
13455.077,44650.513707,23.709699,24.403749,40.113545,83.629321,253.02194,441.340313,492.738273,503.668959,476.566624,395.446867,499.8
13456.032,44650.513718,23.703977,24.405476,40.106983,83.619995,252.983491,441.337131,492.742565,503.664963,476.573616,395.44691,499.8
13457.087,44650.51373,23.703977,24.405476,40.106983,83.619995,252.983491,441.337131,492.742565,503.664963,476.573616,395.44691,499.8
13458.037,44650.513741,23.703977,24.405476,40.106983,83.619995,252.983491,441.337131,492.742565,503.664963,476.573616,395.44691,499.8
13459.091,44650.513753,23.703977,24.405476,40.106983,83.619995,252.983491,441.337131,492.742565,503.664963,476.573616,395.44691,499.8
13460.046,44650.513764,23.703977,24.405476,40.106983,83.619995,252.983491,441.337131,492.742565,503.664963,476.573616,395.44691,499.8
